[(1/2, 1/6, 0, 1/3), (0, 1/3, 0, 2/3), (0, 0, 1/2, 1/2), (0, 0, 0, 1)]
[(1/2, 1/78, 1/13, 79/39), (0, 1/39, 2/13, 158/39), (0, 0, 1/2, 25/2), (0, 0, 0, 13)]
[(1/2, 1/126, 5/42, 2147/126), (0, 1/63, 5/21, 824/63), (0, 0, 1/2, 41/2), (0, 0, 0, 21)]
[(1/2, 1/30, 2/5, 7/15), (0, 1/15, 3/10, 43/30), (0, 0, 1/2, 9/2), (0, 0, 0, 5)]
[(1/2, 0, 0, 35/2), (0, 1/210, 1/2, 1594/105), (0, 0, 1, 0), (0, 0, 0, 35)]
[(1/2, 1/414, 16/69, 8296/207), (0, 1/207, 32/69, 2309/207), (0, 0, 1/2, 137/2), (0, 0, 0, 69)]
[(1/2, 0, 1/4, 5/4), (0, 1/6, 1/4, 19/12), (0, 0, 1/2, 1/2), (0, 0, 0, 2)]
[(1/2, 1/246, 8/41, 4846/123), (0, 1/123, 16/41, 4649/123), (0, 0, 1/2, 81/2), (0, 0, 0, 41)]
[(1/2, 0, 0, 37/2), (0, 1/222, 27/74, 3625/111), (0, 0, 1, 32), (0, 0, 0, 37)]
[(1/2, 1/210, 13/35, 748/105), (0, 1/105, 17/70, 3097/210), (0, 0, 1/2, 69/2), (0, 0, 0, 35)]
[(1/2, 1/354, 5/118, 9317/354), (0, 1/177, 5/59, 9317/177), (0, 0, 1/2, 1/2), (0, 0, 0, 59)]
[(1/2, 0, 0, 29/2), (0, 1/174, 1/2, 1555/87), (0, 0, 1, 0), (0, 0, 0, 29)]
[(1/2, 0, 1/4, 29/4), (0, 1/42, 3/28, 193/84), (0, 0, 1/2, 1/2), (0, 0, 0, 14)]
[(1/2, 1/390, 27/65, 4057/195), (0, 1/195, 43/130, 16423/390), (0, 0, 1/2, 129/2), (0, 0, 0, 65)]
[(1/2, 1/162, 7/27, 2167/81), (0, 1/81, 1/54, 1/162), (0, 0, 1/2, 53/2), (0, 0, 0, 27)]
[(1/2, 1/354, 5/118, 4607/354), (0, 1/177, 5/59, 4607/177), (0, 0, 1/2, 117/2), (0, 0, 0, 59)]
[(1/2, 1/234, 1/39, 79/117), (0, 1/117, 2/39, 158/117), (0, 0, 1/2, 77/2), (0, 0, 0, 39)]
[(1/2, 1/174, 9/29, 2242/87), (0, 1/87, 7/58, 4009/174), (0, 0, 1/2, 57/2), (0, 0, 0, 29)]
[(1/2, 1/270, 7/45, 2167/135), (0, 1/135, 14/45, 4334/135), (0, 0, 1/2, 89/2), (0, 0, 0, 45)]
[(1/2, 0, 1/4, 117/4), (0, 1/174, 51/116, 19321/348), (0, 0, 1/2, 1/2), (0, 0, 0, 58)]
[(1/2, 0, 0, 3/2), (0, 1/18, 1/2, 13/9), (0, 0, 1, 0), (0, 0, 0, 3)]
[(1/2, 1/174, 9/29, 1963/87), (0, 1/87, 7/58, 2719/174), (0, 0, 1/2, 1/2), (0, 0, 0, 29)]
[(1/2, 0, 1/4, 107/4), (0, 1/162, 1/108, 8749/324), (0, 0, 1/2, 107/2), (0, 0, 0, 54)]
[(1/2, 1/90, 7/15, 142/45), (0, 1/45, 13/30, 613/90), (0, 0, 1/2, 29/2), (0, 0, 0, 15)]
[(1/2, 0, 0, 21/2), (0, 1/126, 1/2, 418/63), (0, 0, 1, 0), (0, 0, 0, 21)]
[(1/2, 1/42, 5/14, 89/42), (0, 1/21, 3/14, 199/42), (0, 0, 1/2, 13/2), (0, 0, 0, 7)]
[(1/2, 1/270, 2/45, 493/135), (0, 1/135, 4/45, 986/135), (0, 0, 1/2, 1/2), (0, 0, 0, 45)]
[(1/2, 1/450, 28/75, 6478/225), (0, 1/225, 37/150, 26137/450), (0, 0, 1/2, 149/2), (0, 0, 0, 75)]
[(1/2, 1/390, 0, 5956/195), (0, 1/195, 0, 11912/195), (0, 0, 1/2, 65/2), (0, 0, 0, 65)]
[(1/2, 1/90, 2/15, 493/45), (0, 1/45, 4/15, 311/45), (0, 0, 1/2, 1/2), (0, 0, 0, 15)]
[(1/2, 1/210, 0, 1006/105), (0, 1/105, 0, 2012/105), (0, 0, 1/2, 35/2), (0, 0, 0, 35)]
[(1/2, 1/246, 8/41, 3559/123), (0, 1/123, 16/41, 2075/123), (0, 0, 1/2, 1/2), (0, 0, 0, 41)]
[(1/2, 0, 0, 23/2), (0, 1/138, 1/2, 469/69), (0, 0, 1, 0), (0, 0, 0, 23)]
[(1/2, 0, 1/4, 147/4), (0, 1/234, 9/52, 13471/468), (0, 0, 1/2, 147/2), (0, 0, 0, 78)]
[(1/2, 0, 0, 35/2), (0, 1/210, 7/10, 2623/105), (0, 0, 1, 21), (0, 0, 0, 35)]
[(1/2, 1/390, 41/130, 15251/390), (0, 1/195, 17/130, 5347/390), (0, 0, 1/2, 129/2), (0, 0, 0, 65)]
[(1/2, 1/18, 1/3, 25/9), (0, 1/9, 1/6, 1/18), (0, 0, 1/2, 5/2), (0, 0, 0, 3)]
[(1/2, 0, 1/4, 77/4), (0, 1/204, 33/136, 5323/408), (0, 0, 1/2, 77/2), (0, 0, 0, 68)]
[(1/2, 1/414, 55/138, 1463/414), (0, 1/207, 41/138, 2719/414), (0, 0, 1/2, 1/2), (0, 0, 0, 69)]
[(1/2, 0, 1/4, 21/4), (0, 1/30, 3/20, 457/60), (0, 0, 1/2, 1/2), (0, 0, 0, 10)]
[(1/2, 1/126, 0, 418/63), (0, 1/63, 0, 836/63), (0, 0, 1/2, 21/2), (0, 0, 0, 21)]
[(1/2, 1/150, 19/50, 569/150), (0, 1/75, 13/50, 1213/150), (0, 0, 1/2, 49/2), (0, 0, 0, 25)]
[(1/2, 1/294, 23/98, 10607/294), (0, 1/147, 23/49, 3404/147), (0, 0, 1/2, 97/2), (0, 0, 0, 49)]
[(1/2, 1/234, 0, 3928/117), (0, 1/117, 0, 3293/117), (0, 0, 1/2, 39/2), (0, 0, 0, 39)]
[(1/2, 1/294, 0, 268/147), (0, 1/147, 0, 536/147), (0, 0, 1/2, 49/2), (0, 0, 0, 49)]
[(1/2, 0, 1/4, 91/4), (0, 1/138, 41/92, 7861/276), (0, 0, 1/2, 91/2), (0, 0, 0, 46)]
[(1/2, 0, 1/4, 45/4), (0, 1/228, 1/152, 9451/456), (0, 0, 1/2, 45/2), (0, 0, 0, 76)]
[(1/2, 1/210, 0, 856/105), (0, 1/105, 0, 1712/105), (0, 0, 1/2, 35/2), (0, 0, 0, 35)]
[(1/2, 1/450, 22/75, 2122/225), (0, 1/225, 13/150, 8713/450), (0, 0, 1/2, 149/2), (0, 0, 0, 75)]
[(1/2, 1/54, 2/9, 7/27), (0, 1/27, 4/9, 14/27), (0, 0, 1/2, 1/2), (0, 0, 0, 9)]
[(1/2, 1/138, 9/46, 791/138), (0, 1/69, 9/23, 791/69), (0, 0, 1/2, 45/2), (0, 0, 0, 23)]
[(1/2, 0, 0, 25/2), (0, 1/150, 1/2, 781/75), (0, 0, 1, 0), (0, 0, 0, 25)]
[(1/2, 1/378, 5/126, 23315/378), (0, 1/189, 5/63, 11408/189), (0, 0, 1/2, 125/2), (0, 0, 0, 63)]
[(1/2, 1/30, 2/5, 43/15), (0, 1/15, 3/10, 7/30), (0, 0, 1/2, 1/2), (0, 0, 0, 5)]
[(1/2, 1/150, 0, 469/75), (0, 1/75, 0, 938/75), (0, 0, 1/2, 25/2), (0, 0, 0, 25)]
[(1/2, 0, 1/4, 37/4), (0, 1/54, 17/36, 1027/108), (0, 0, 1/2, 1/2), (0, 0, 0, 18)]
[(1/2, 0, 1/4, 101/4), (0, 1/150, 13/100, 11287/300), (0, 0, 1/2, 1/2), (0, 0, 0, 50)]
[(1/2, 0, 1/4, 61/4), (0, 1/90, 23/60, 4717/180), (0, 0, 1/2, 1/2), (0, 0, 0, 30)]
[(1/2, 1/78, 1/13, 259/39), (0, 1/39, 2/13, 11/39), (0, 0, 1/2, 1/2), (0, 0, 0, 13)]
[(1/2, 0, 1/4, 139/4), (0, 1/210, 17/140, 17797/420), (0, 0, 1/2, 139/2), (0, 0, 0, 70)]
[(1/2, 0, 1/4, 53/4), (0, 1/78, 9/52, 355/156), (0, 0, 1/2, 1/2), (0, 0, 0, 26)]
[(1/2, 0, 1/4, 19/4), (0, 1/30, 3/20, 343/60), (0, 0, 1/2, 19/2), (0, 0, 0, 10)]
[(1/2, 1/378, 20/63, 547/189), (0, 1/189, 17/126, 1999/378), (0, 0, 1/2, 1/2), (0, 0, 0, 63)]
[(1/2, 1/390, 27/65, 4393/195), (0, 1/195, 43/130, 17377/390), (0, 0, 1/2, 1/2), (0, 0, 0, 65)]
[(1/2, 0, 1/4, 59/4), (0, 1/90, 13/60, 3313/180), (0, 0, 1/2, 59/2), (0, 0, 0, 30)]
[(1/2, 0, 1/4, 53/4), (0, 1/78, 17/52, 1075/156), (0, 0, 1/2, 1/2), (0, 0, 0, 26)]
[(1/2, 1/138, 7/23, 628/69), (0, 1/69, 5/46, 2581/138), (0, 0, 1/2, 45/2), (0, 0, 0, 23)]
[(1/2, 1/210, 0, 1594/105), (0, 1/105, 0, 3188/105), (0, 0, 1/2, 35/2), (0, 0, 0, 35)]
[(1/2, 1/42, 5/14, 107/42), (0, 1/21, 3/14, 193/42), (0, 0, 1/2, 1/2), (0, 0, 0, 7)]
[(1/2, 0, 0, 7/2), (0, 1/42, 1/2, 121/21), (0, 0, 1, 0), (0, 0, 0, 7)]
