[(1/2, 1/322, 0, 1815/161), (0, 1/161, 0, 3630/161), (0, 0, 1/2, 23/2), (0, 0, 0, 23)]
[(1/2, 1/686, 0, 13190/343), (0, 1/343, 0, 9573/343), (0, 0, 1/2, 49/2), (0, 0, 0, 49)]
[(1/2, 1/350, 0, 2578/175), (0, 1/175, 0, 781/175), (0, 0, 1/2, 25/2), (0, 0, 0, 25)]
[(1/2, 1/1162, 0, 44522/581), (0, 1/581, 0, 40821/581), (0, 0, 1/2, 83/2), (0, 0, 0, 83)]
[(1/2, 1/1078, 32/77, 29822/539), (0, 1/539, 51/154, 71317/1078), (0, 0, 1/2, 89/2), (0, 0, 0, 77)]
[(1/2, 1/910, 0, 23172/455), (0, 1/455, 0, 16769/455), (0, 0, 1/2, 65/2), (0, 0, 0, 65)]
[(1/2, 1/490, 0, 1528/245), (0, 1/245, 0, 3056/245), (0, 0, 1/2, 35/2), (0, 0, 0, 35)]
[(1/2, 1/882, 29/126, 30293/882), (0, 1/441, 29/63, 2510/441), (0, 0, 1/2, 47/2), (0, 0, 0, 63)]
[(1/2, 0, 0, 23/2), (0, 1/322, 1/2, 2417/161), (0, 0, 1, 0), (0, 0, 0, 23)]
[(1/2, 1/910, 0, 2347/455), (0, 1/455, 0, 4694/455), (0, 0, 1/2, 65/2), (0, 0, 0, 65)]
[(1/2, 0, 0, 25/2), (0, 1/350, 1/2, 2578/175), (0, 0, 1, 0), (0, 0, 0, 25)]
[(1/2, 0, 0, 13/2), (0, 1/182, 1/2, 1164/91), (0, 0, 1, 0), (0, 0, 0, 13)]
[(1/2, 1/434, 0, 1185/217), (0, 1/217, 0, 2370/217), (0, 0, 1/2, 31/2), (0, 0, 0, 31)]
[(1/2, 0, 0, 31/2), (0, 1/434, 1/2, 1185/217), (0, 0, 1, 0), (0, 0, 0, 31)]
[(1/2, 0, 0, 13/2), (0, 1/182, 1/2, 695/91), (0, 0, 1, 0), (0, 0, 0, 13)]
[(1/2, 0, 0, 5/2), (0, 1/70, 1/2, 72/35), (0, 0, 1, 0), (0, 0, 0, 5)]
[(1/2, 1/1050, 71/150, 76493/1050), (0, 1/525, 67/150, 46411/1050), (0, 0, 1/2, 53/2), (0, 0, 0, 75)]
[(1/2, 0, 0, 39/2), (0, 1/546, 11/78, 8402/273), (0, 0, 1, 10), (0, 0, 0, 39)]
[(1/2, 0, 0, 23/2), (0, 1/322, 1/2, 1815/161), (0, 0, 1, 0), (0, 0, 0, 23)]
[(1/2, 0, 0, 1/2), (0, 1/14, 1/2, 2/7), (0, 0, 1, 0), (0, 0, 0, 1)]
[(1/2, 1/182, 0, 695/91), (0, 1/91, 0, 207/91), (0, 0, 1/2, 13/2), (0, 0, 0, 13)]
[(1/2, 0, 0, 5/2), (0, 1/70, 1/2, 128/35), (0, 0, 1, 0), (0, 0, 0, 5)]
[(1/2, 1/742, 0, 1703/371), (0, 1/371, 0, 3406/371), (0, 0, 1/2, 53/2), (0, 0, 0, 53)]
[(1/2, 0, 0, 25/2), (0, 1/350, 1/2, 3047/175), (0, 0, 1, 0), (0, 0, 0, 25)]
[(1/2, 0, 0, 17/2), (0, 1/476, 7/68, 1576/119), (0, 0, 2, 16), (0, 0, 0, 17)]
[(1/2, 1/182, 0, 1164/91), (0, 1/91, 0, 1145/91), (0, 0, 1/2, 13/2), (0, 0, 0, 13)]
[(1/2, 1/658, 0, 14751/329), (0, 1/329, 0, 14039/329), (0, 0, 1/2, 47/2), (0, 0, 0, 47)]
[(1/2, 1/1078, 75/154, 71579/1078), (0, 1/539, 73/154, 24039/1078), (0, 0, 1/2, 67/2), (0, 0, 0, 77)]
[(1/2, 1/574, 0, 1850/287), (0, 1/287, 0, 3700/287), (0, 0, 1/2, 41/2), (0, 0, 0, 41)]
[(1/2, 1/70, 0, 72/35), (0, 1/35, 0, 144/35), (0, 0, 1/2, 5/2), (0, 0, 0, 5)]
[(1/2, 1/1134, 20/81, 331/567), (0, 1/567, 40/81, 662/567), (0, 0, 1/2, 55/2), (0, 0, 0, 81)]
[(1/2, 0, 0, 31/2), (0, 1/434, 1/2, 737/217), (0, 0, 1, 0), (0, 0, 0, 31)]
[(1/2, 1/882, 2/9, 17992/441), (0, 1/441, 4/9, 8201/441), (0, 0, 1/2, 49/2), (0, 0, 0, 63)]
[(1/2, 1/1134, 7/162, 30475/1134), (0, 1/567, 7/81, 30475/567), (0, 0, 1/2, 119/2), (0, 0, 0, 81)]
[(1/2, 1/70, 0, 128/35), (0, 1/35, 0, 81/35), (0, 0, 1/2, 5/2), (0, 0, 0, 5)]
[(1/2, 1/742, 0, 3915/371), (0, 1/371, 0, 7830/371), (0, 0, 1/2, 53/2), (0, 0, 0, 53)]
[(1/2, 0, 0, 7/2), (0, 1/98, 1/2, 156/49), (0, 0, 1, 0), (0, 0, 0, 7)]
[(1/2, 1/98, 0, 156/49), (0, 1/49, 0, 312/49), (0, 0, 1/2, 7/2), (0, 0, 0, 7)]
[(1/2, 1/658, 0, 2921/329), (0, 1/329, 0, 5842/329), (0, 0, 1/2, 47/2), (0, 0, 0, 47)]
