[(1/2, 1/6, 0, 1/3), (0, 1/3, 0, 2/3), (0, 0, 1/2, 1/2), (0, 0, 0, 1)]
[(1/2, 0, 0, 11/2), (0, 1/66, 1/2, 184/33), (0, 0, 1, 0), (0, 0, 0, 11)]
[(1/2, 0, 1/4, 107/4), (0, 1/162, 49/108, 5989/324), (0, 0, 1/2, 107/2), (0, 0, 0, 54)]
[(1/2, 0, 1/4, 51/4), (0, 1/78, 21/52, 2881/156), (0, 0, 1/2, 51/2), (0, 0, 0, 26)]
[(1/2, 1/282, 0, 181/141), (0, 1/141, 0, 362/141), (0, 0, 1/2, 47/2), (0, 0, 0, 47)]
[(1/2, 1/246, 5/82, 569/246), (0, 1/123, 5/41, 569/123), (0, 0, 1/2, 1/2), (0, 0, 0, 41)]
[(1/2, 1/258, 0, 2533/129), (0, 1/129, 0, 5066/129), (0, 0, 1/2, 43/2), (0, 0, 0, 43)]
[(1/2, 1/54, 1/9, 73/27), (0, 1/27, 2/9, 146/27), (0, 0, 1/2, 17/2), (0, 0, 0, 9)]
[(1/2, 1/318, 0, 7495/159), (0, 1/159, 0, 6563/159), (0, 0, 1/2, 53/2), (0, 0, 0, 53)]
[(1/2, 0, 1/4, 173/4), (0, 1/180, 31/120, 13333/360), (0, 0, 1/2, 53/2), (0, 0, 0, 60)]
[(1/2, 0, 1/4, 5/4), (0, 1/6, 1/4, 19/12), (0, 0, 1/2, 1/2), (0, 0, 0, 2)]
[(1/2, 1/234, 0, 4255/117), (0, 1/117, 0, 3947/117), (0, 0, 1/2, 39/2), (0, 0, 0, 39)]
[(1/2, 0, 1/4, 197/4), (0, 1/186, 47/124, 7261/372), (0, 0, 1/2, 73/2), (0, 0, 0, 62)]
[(1/2, 0, 0, 3/2), (0, 1/18, 1/2, 16/9), (0, 0, 1, 0), (0, 0, 0, 3)]
[(1/2, 1/78, 9/26, 191/78), (0, 1/39, 5/26, 421/78), (0, 0, 1/2, 25/2), (0, 0, 0, 13)]
[(1/2, 1/66, 3/22, 707/66), (0, 1/33, 3/11, 344/33), (0, 0, 1/2, 21/2), (0, 0, 0, 11)]
