[(1/2, 1/6, 0, 1/3), (0, 1/3, 0, 2/3), (0, 0, 1/2, 1/2), (0, 0, 0, 1)]
[(1/2, 1/330, 0, 6496/165), (0, 1/165, 0, 3917/165), (0, 0, 1/2, 55/2), (0, 0, 0, 55)]
[(1/2, 1/246, 0, 589/123), (0, 1/123, 0, 1178/123), (0, 0, 1/2, 41/2), (0, 0, 0, 41)]
[(1/2, 0, 1/4, 11/4), (0, 1/18, 1/12, 157/36), (0, 0, 1/2, 11/2), (0, 0, 0, 6)]
[(1/2, 1/330, 3/55, 883/165), (0, 1/165, 6/55, 1766/165), (0, 0, 1/2, 109/2), (0, 0, 0, 55)]
[(1/2, 0, 1/4, 107/4), (0, 1/162, 13/108, 10273/324), (0, 0, 1/2, 107/2), (0, 0, 0, 54)]
[(1/2, 1/54, 7/18, 317/54), (0, 1/27, 5/18, 121/54), (0, 0, 1/2, 1/2), (0, 0, 0, 9)]
[(1/2, 1/198, 0, 1006/99), (0, 1/99, 0, 2012/99), (0, 0, 1/2, 33/2), (0, 0, 0, 33)]
[(1/2, 1/66, 5/22, 347/66), (0, 1/33, 5/11, 347/33), (0, 0, 1/2, 1/2), (0, 0, 0, 11)]
[(1/2, 1/162, 7/54, 803/162), (0, 1/81, 7/27, 803/81), (0, 0, 1/2, 1/2), (0, 0, 0, 27)]
[(1/2, 0, 1/4, 29/4), (0, 1/180, 13/120, 21343/360), (0, 0, 1/2, 29/2), (0, 0, 0, 60)]
[(1/2, 1/198, 5/66, 4493/198), (0, 1/99, 5/33, 1226/99), (0, 0, 1/2, 65/2), (0, 0, 0, 33)]
[(1/2, 1/330, 8/55, 2593/165), (0, 1/165, 16/55, 5186/165), (0, 0, 1/2, 109/2), (0, 0, 0, 55)]
[(1/2, 1/270, 29/90, 9929/270), (0, 1/135, 13/90, 7843/270), (0, 0, 1/2, 89/2), (0, 0, 0, 45)]
[(1/2, 0, 1/4, 173/4), (0, 1/168, 51/112, 18145/336), (0, 0, 1/2, 61/2), (0, 0, 0, 56)]
[(1/2, 1/246, 0, 2773/123), (0, 1/123, 0, 503/123), (0, 0, 1/2, 41/2), (0, 0, 0, 41)]
[(1/2, 0, 1/4, 61/4), (0, 1/90, 23/60, 3037/180), (0, 0, 1/2, 1/2), (0, 0, 0, 30)]
[(1/2, 0, 1/4, 61/4), (0, 1/90, 17/60, 3883/180), (0, 0, 1/2, 1/2), (0, 0, 0, 30)]
