[(1/2, 1/238, 0, 482/119), (0, 1/119, 0, 964/119), (0, 0, 1/2, 17/2), (0, 0, 0, 17)]
[(1/2, 0, 0, 9/2), (0, 1/252, 11/36, 346/63), (0, 0, 2, 2), (0, 0, 0, 9)]
[(1/2, 1/574, 0, 7692/287), (0, 1/287, 0, 3617/287), (0, 0, 1/2, 41/2), (0, 0, 0, 41)]
[(1/2, 0, 0, 1/2), (0, 1/14, 1/2, 6/7), (0, 0, 1, 0), (0, 0, 0, 1)]
[(1/2, 1/98, 0, 300/49), (0, 1/49, 0, 257/49), (0, 0, 1/2, 7/2), (0, 0, 0, 7)]
[(1/2, 1/434, 0, 1875/217), (0, 1/217, 0, 3750/217), (0, 0, 1/2, 31/2), (0, 0, 0, 31)]
[(1/2, 0, 0, 9/2), (0, 1/252, 43/36, 437/63), (0, 0, 2, 2), (0, 0, 0, 9)]
[(1/2, 1/238, 0, 1252/119), (0, 1/119, 0, 481/119), (0, 0, 1/2, 17/2), (0, 0, 0, 17)]
[(1/2, 1/154, 0, 769/77), (0, 1/77, 0, 691/77), (0, 0, 1/2, 11/2), (0, 0, 0, 11)]
[(1/2, 1/14, 0, 6/7), (0, 1/7, 0, 5/7), (0, 0, 1/2, 1/2), (0, 0, 0, 1)]
[(1/2, 0, 0, 11/2), (0, 1/154, 1/2, 804/77), (0, 0, 1, 0), (0, 0, 0, 11)]
[(1/2, 0, 0, 17/2), (0, 1/238, 1/2, 482/119), (0, 0, 1, 0), (0, 0, 0, 17)]
[(1/2, 1/154, 0, 804/77), (0, 1/77, 0, 761/77), (0, 0, 1/2, 11/2), (0, 0, 0, 11)]
[(1/2, 1/630, 89/45, 326/63), (0, 1/315, 131/90, 989/126), (0, 0, 5/2, 5/2), (0, 0, 0, 9)]
[(1/2, 1/434, 0, 3891/217), (0, 1/217, 0, 1055/217), (0, 0, 1/2, 31/2), (0, 0, 0, 31)]
[(1/2, 0, 0, 11/2), (0, 1/154, 1/2, 769/77), (0, 0, 1, 0), (0, 0, 0, 11)]
[(1/2, 0, 0, 7/2), (0, 1/98, 1/2, 300/49), (0, 0, 1, 0), (0, 0, 0, 7)]
[(1/2, 1/630, 41/90, 24211/630), (0, 1/315, 37/90, 4637/630), (0, 0, 1/2, 49/2), (0, 0, 0, 45)]
[(1/2, 1/322, 0, 2211/161), (0, 1/161, 0, 719/161), (0, 0, 1/2, 23/2), (0, 0, 0, 23)]
[(1/2, 1/630, 53/90, 323/126), (0, 1/315, 53/45, 323/63), (0, 0, 5/2, 17/2), (0, 0, 0, 9)]
[(1/2, 0, 0, 17/2), (0, 1/238, 1/2, 1252/119), (0, 0, 1, 0), (0, 0, 0, 17)]
