[(1/2, 0, 1/2, 7), (0, 1/18, 8/9, 67/18), (0, 0, 1, 5), (0, 0, 0, 9)]
[(1/2, 0, 1/2, 8), (0, 1/28, 4/7, 97/28), (0, 0, 1, 2), (0, 0, 0, 14)]
[(1/2, 0, 1/2, 20), (0, 1/42, 13/21, 307/42), (0, 0, 1, 19), (0, 0, 0, 21)]
[(1/2, 0, 1/2, 13), (0, 1/30, 7/15, 371/30), (0, 0, 1, 11), (0, 0, 0, 15)]
[(1/2, 0, 1/2, 2), (0, 1/16, 1/4, 111/16), (0, 0, 1, 4), (0, 0, 0, 8)]
[(1/2, 0, 1/2, 4), (0, 1/24, 1/3, 89/24), (0, 0, 1, 8), (0, 0, 0, 12)]
[(1/2, 0, 1/2, 8), (0, 1/36, 1/9, 191/36), (0, 0, 1, 16), (0, 0, 0, 18)]
[(1/2, 0, 1/2, 6), (0, 1/16, 3/4, 47/16), (0, 0, 1, 4), (0, 0, 0, 8)]
[(1/2, 0, 1/2, 10), (0, 1/36, 8/9, 263/36), (0, 0, 1, 2), (0, 0, 0, 18)]
[(1/2, 0, 1/2, 5), (0, 1/18, 5/9, 107/18), (0, 0, 1, 1), (0, 0, 0, 9)]
[(1/2, 0, 1/2, 8), (0, 1/28, 4/7, 391/28), (0, 0, 1, 2), (0, 0, 0, 14)]
[(1/2, 0, 1/2, 2), (0, 1/24, 1/6, 47/24), (0, 0, 1, 4), (0, 0, 0, 12)]
[(1/2, 0, 1/2, 5), (0, 1/26, 11/13, 29/26), (0, 0, 1, 10), (0, 0, 0, 13)]
[(1/2, 0, 1/2, 2), (0, 1/26, 5/13, 303/26), (0, 0, 1, 4), (0, 0, 0, 13)]
[(1/2, 0, 1/2, 2), (0, 1/12, 1/3, 65/12), (0, 0, 1, 4), (0, 0, 0, 6)]
[(1/2, 0, 1/2, 12), (0, 1/40, 3/5, 569/40), (0, 0, 1, 4), (0, 0, 0, 20)]
[(1/2, 0, 1/2, 8), (0, 1/22, 2/11, 107/22), (0, 0, 1, 5), (0, 0, 0, 11)]
