[(1/2, 1/6, 0, 1/3), (0, 1/3, 0, 2/3), (0, 0, 1/2, 1/2), (0, 0, 0, 1)]
[(1/2, 1/90, 0, 154/45), (0, 1/45, 0, 308/45), (0, 0, 1/2, 15/2), (0, 0, 0, 15)]
[(1/2, 1/78, 0, 118/39), (0, 1/39, 0, 236/39), (0, 0, 1/2, 13/2), (0, 0, 0, 13)]
[(1/2, 1/150, 2/25, 1798/75), (0, 1/75, 4/25, 1721/75), (0, 0, 1/2, 1/2), (0, 0, 0, 25)]
[(1/2, 1/198, 0, 73/99), (0, 1/99, 0, 146/99), (0, 0, 1/2, 33/2), (0, 0, 0, 33)]
[(1/2, 1/174, 1/58, 1973/174), (0, 1/87, 1/29, 1973/87), (0, 0, 1/2, 57/2), (0, 0, 0, 29)]
[(1/2, 1/234, 25/78, 4265/234), (0, 1/117, 11/78, 8413/234), (0, 0, 1/2, 1/2), (0, 0, 0, 39)]
[(1/2, 0, 1/4, 61/4), (0, 1/120, 17/80, 283/240), (0, 0, 1/2, 61/2), (0, 0, 0, 40)]
[(1/2, 1/102, 0, 853/51), (0, 1/51, 0, 839/51), (0, 0, 1/2, 17/2), (0, 0, 0, 17)]
[(1/2, 0, 1/4, 45/4), (0, 1/114, 13/76, 6127/228), (0, 0, 1/2, 45/2), (0, 0, 0, 38)]
[(1/2, 0, 0, 7/2), (0, 1/42, 1/2, 115/21), (0, 0, 1, 0), (0, 0, 0, 7)]
[(1/2, 1/210, 12/35, 2497/105), (0, 1/105, 13/70, 2743/210), (0, 0, 1/2, 69/2), (0, 0, 0, 35)]
[(1/2, 1/246, 23/82, 4487/246), (0, 1/123, 5/82, 8851/246), (0, 0, 1/2, 1/2), (0, 0, 0, 41)]
[(1/2, 0, 0, 19/2), (0, 1/114, 13/38, 295/57), (0, 0, 1, 6), (0, 0, 0, 19)]
[(1/2, 0, 0, 15/2), (0, 1/90, 1/2, 46/45), (0, 0, 1, 0), (0, 0, 0, 15)]
[(1/2, 1/210, 12/35, 3628/105), (0, 1/105, 13/70, 7057/210), (0, 0, 1/2, 1/2), (0, 0, 0, 35)]
[(1/2, 1/30, 1/10, 131/30), (0, 1/15, 1/5, 56/15), (0, 0, 1/2, 9/2), (0, 0, 0, 5)]
[(1/2, 0, 1/4, 147/4), (0, 1/132, 39/88, 5779/264), (0, 0, 1/2, 59/2), (0, 0, 0, 44)]
