[(1/2, 0, 1/2, 0), (0, 1/24, 0, 131/24), (0, 0, 1, 0), (0, 0, 0, 12)]
[(1/2, 0, 35/2, 0), (0, 1/70, 1086/35, 1/2), (0, 0, 35, 0), (0, 0, 0, 1)]
[(1/2, 0, 1/2, 2), (0, 1/8, 1/2, 11/8), (0, 0, 1, 0), (0, 0, 0, 4)]
[(1/2, 0, 1/2, 0), (0, 1/58, 0, 1349/58), (0, 0, 1, 0), (0, 0, 0, 29)]
[(1/2, 0, 1/2, 22), (0, 1/64, 7/16, 779/64), (0, 0, 1, 12), (0, 0, 0, 32)]
[(1/2, 0, 7/2, 0), (0, 1/14, 41/7, 1/2), (0, 0, 7, 0), (0, 0, 0, 1)]
[(1/2, 0, 1/2, 6), (0, 1/24, 1/2, 203/24), (0, 0, 1, 0), (0, 0, 0, 12)]
[(1/2, 0, 1/2, 0), (0, 1/40, 0, 3/40), (0, 0, 1, 0), (0, 0, 0, 20)]
[(1/2, 0, 9/2, 0), (0, 1/18, 34/9, 1/2), (0, 0, 9, 0), (0, 0, 0, 1)]
[(1/2, 0, 27/2, 0), (0, 1/54, 601/27, 1/2), (0, 0, 27, 0), (0, 0, 0, 1)]
[(1/2, 0, 1/2, 32), (0, 1/76, 10/19, 2733/76), (0, 0, 1, 26), (0, 0, 0, 38)]
[(1/2, 0, 1/2, 0), (0, 1/20, 0, 53/20), (0, 0, 1, 0), (0, 0, 0, 10)]
[(1/2, 0, 1/2, 18), (0, 1/72, 1/2, 661/72), (0, 0, 1, 0), (0, 0, 0, 36)]
[(1/2, 0, 41/2, 0), (0, 1/82, 1357/41, 1/2), (0, 0, 41, 0), (0, 0, 0, 1)]
[(1/2, 0, 1/2, 0), (0, 1/24, 0, 67/24), (0, 0, 1, 0), (0, 0, 0, 12)]
[(1/2, 0, 1/2, 0), (0, 1/44, 0, 531/44), (0, 0, 1, 0), (0, 0, 0, 22)]
[(1/2, 0, 1/2, 0), (0, 1/60, 0, 347/60), (0, 0, 1, 0), (0, 0, 0, 30)]
[(1/2, 0, 3/2, 3), (0, 1/66, 2/33, 69/22), (0, 0, 3, 6), (0, 0, 0, 11)]
[(1/2, 0, 1/2, 0), (0, 1/54, 0, 473/54), (0, 0, 1, 0), (0, 0, 0, 27)]
[(1/2, 0, 1/2, 0), (0, 1/60, 0, 1597/60), (0, 0, 1, 0), (0, 0, 0, 30)]
[(1/2, 0, 1/2, 0), (0, 1/22, 0, 47/22), (0, 0, 1, 0), (0, 0, 0, 11)]
[(1/2, 0, 1/2, 0), (0, 1/60, 0, 797/60), (0, 0, 1, 0), (0, 0, 0, 30)]
[(1/2, 0, 1/2, 0), (0, 1/64, 0, 1603/64), (0, 0, 1, 0), (0, 0, 0, 32)]
[(1/2, 0, 1/2, 0), (0, 1/66, 0, 1741/66), (0, 0, 1, 0), (0, 0, 0, 33)]
[(1/2, 0, 1/2, 0), (0, 1/36, 0, 13/36), (0, 0, 1, 0), (0, 0, 0, 18)]
[(1/2, 0, 3/2, 8), (0, 1/78, 16/39, 323/26), (0, 0, 3, 3), (0, 0, 0, 13)]
[(1/2, 0, 1/2, 26), (0, 1/82, 14/41, 2573/82), (0, 0, 1, 11), (0, 0, 0, 41)]
[(1/2, 0, 1/2, 0), (0, 1/36, 0, 499/36), (0, 0, 1, 0), (0, 0, 0, 18)]
[(1/2, 0, 1/2, 0), (0, 1/18, 0, 149/18), (0, 0, 1, 0), (0, 0, 0, 9)]
[(1/2, 0, 1/2, 0), (0, 1/30, 0, 347/30), (0, 0, 1, 0), (0, 0, 0, 15)]
