[(1/2, 0, 1/2, 0), (0, 1/4, 0, 3/4), (0, 0, 1, 0), (0, 0, 0, 2)]
[(1/2, 0, 1/2, 14), (0, 1/56, 1/2, 331/56), (0, 0, 1, 0), (0, 0, 0, 28)]
[(1/2, 0, 1/2, 8), (0, 1/32, 1/2, 221/32), (0, 0, 1, 0), (0, 0, 0, 16)]
[(1/2, 0, 1/2, 0), (0, 1/28, 0, 61/28), (0, 0, 1, 0), (0, 0, 0, 14)]
[(1/2, 0, 1/2, 0), (0, 1/8, 0, 3/8), (0, 0, 1, 0), (0, 0, 0, 4)]
[(1/2, 0, 1/2, 0), (0, 1/14, 0, 61/14), (0, 0, 1, 0), (0, 0, 0, 7)]
[(1/2, 0, 1/2, 0), (0, 1/56, 0, 355/56), (0, 0, 1, 0), (0, 0, 0, 28)]
[(1/2, 0, 31/2, 0), (0, 1/62, 377/31, 1/2), (0, 0, 31, 0), (0, 0, 0, 1)]
[(1/2, 0, 1/2, 0), (0, 1/2, 0, 1/2), (0, 0, 1, 0), (0, 0, 0, 1)]
[(1/2, 0, 1/2, 2), (0, 1/8, 1/2, 11/8), (0, 0, 1, 0), (0, 0, 0, 4)]
[(1/2, 0, 7/2, 0), (0, 1/14, 6/7, 1/2), (0, 0, 7, 0), (0, 0, 0, 1)]
[(1/2, 0, 1/2, 0), (0, 1/16, 0, 35/16), (0, 0, 1, 0), (0, 0, 0, 8)]
[(1/2, 0, 1/2, 0), (0, 1/28, 0, 355/28), (0, 0, 1, 0), (0, 0, 0, 14)]
[(1/2, 0, 1/2, 0), (0, 1/56, 0, 61/56), (0, 0, 1, 0), (0, 0, 0, 28)]
[(1/2, 0, 1/2, 14), (0, 1/56, 1/2, 747/56), (0, 0, 1, 0), (0, 0, 0, 28)]
[(1/2, 0, 1/2, 16), (0, 1/64, 1/2, 1373/64), (0, 0, 1, 0), (0, 0, 0, 32)]
[(1/2, 0, 1/2, 8), (0, 1/60, 7/15, 317/60), (0, 0, 1, 16), (0, 0, 0, 30)]
[(1/2, 0, 1/2, 0), (0, 1/32, 0, 163/32), (0, 0, 1, 0), (0, 0, 0, 16)]
[(1/2, 0, 1/2, 4), (0, 1/16, 1/2, 61/16), (0, 0, 1, 0), (0, 0, 0, 8)]
[(1/2, 0, 1/2, 2), (0, 1/60, 7/15, 83/60), (0, 0, 1, 4), (0, 0, 0, 30)]
[(1/2, 0, 1/2, 12), (0, 1/58, 27/29, 1223/58), (0, 0, 1, 24), (0, 0, 0, 29)]
[(1/2, 0, 1/2, 18), (0, 1/56, 1/14, 1109/56), (0, 0, 1, 8), (0, 0, 0, 28)]
[(1/2, 0, 1/2, 17), (0, 1/46, 17/23, 367/46), (0, 0, 1, 11), (0, 0, 0, 23)]
[(1/2, 0, 1/2, 2), (0, 1/24, 1/6, 203/24), (0, 0, 1, 4), (0, 0, 0, 12)]
[(1/2, 0, 1/2, 2), (0, 1/10, 1/5, 37/10), (0, 0, 1, 4), (0, 0, 0, 5)]
[(1/2, 0, 1/2, 23), (0, 1/50, 24/25, 487/50), (0, 0, 1, 21), (0, 0, 0, 25)]
[(1/2, 0, 7/2, 2), (0, 1/56, 3/14, 3/8), (0, 0, 7, 0), (0, 0, 0, 4)]
