[(1/2, 1/6, 0, 1/3), (0, 1/3, 0, 2/3), (0, 0, 1/2, 1/2), (0, 0, 0, 1)]
[(1/2, 0, 1/4, 99/4), (0, 1/150, 9/100, 4309/300), (0, 0, 1/2, 99/2), (0, 0, 0, 50)]
[(1/2, 0, 0, 41/2), (0, 1/246, 9/82, 1444/123), (0, 0, 1, 20), (0, 0, 0, 41)]
[(1/2, 0, 1/4, 115/4), (0, 1/240, 1/32, 5593/480), (0, 0, 1/2, 115/2), (0, 0, 0, 80)]
[(1/2, 0, 0, 15/2), (0, 1/90, 1/2, 592/45), (0, 0, 1, 0), (0, 0, 0, 15)]
[(1/2, 0, 1, 13/2), (0, 1/264, 91/88, 169/132), (0, 0, 2, 13), (0, 0, 0, 22)]
[(1/2, 1/30, 1/5, 19/15), (0, 1/15, 2/5, 38/15), (0, 0, 1/2, 1/2), (0, 0, 0, 5)]
[(1/2, 1/150, 17/50, 383/150), (0, 1/75, 9/50, 691/150), (0, 0, 1/2, 1/2), (0, 0, 0, 25)]
[(1/2, 0, 1/4, 125/4), (0, 1/186, 25/124, 17707/372), (0, 0, 1/2, 1/2), (0, 0, 0, 62)]
[(1/2, 1/150, 17/50, 2117/150), (0, 1/75, 9/50, 559/150), (0, 0, 1/2, 49/2), (0, 0, 0, 25)]
[(1/2, 0, 1/4, 91/4), (0, 1/138, 39/92, 2707/276), (0, 0, 1/2, 91/2), (0, 0, 0, 46)]
[(1/2, 1/270, 1/45, 406/135), (0, 1/135, 2/45, 812/135), (0, 0, 1/2, 89/2), (0, 0, 0, 45)]
[(1/2, 1/450, 0, 16792/225), (0, 1/225, 0, 16709/225), (0, 0, 1/2, 75/2), (0, 0, 0, 75)]
[(1/2, 0, 1/4, 91/4), (0, 1/138, 7/92, 1387/276), (0, 0, 1/2, 91/2), (0, 0, 0, 46)]
[(1/2, 0, 1/4, 43/4), (0, 1/66, 17/44, 61/132), (0, 0, 1/2, 43/2), (0, 0, 0, 22)]
[(1/2, 0, 7/4, 11/4), (0, 1/252, 145/168, 781/72), (0, 0, 7/2, 11/2), (0, 0, 0, 12)]
[(1/2, 0, 1/4, 107/4), (0, 1/162, 31/108, 16123/324), (0, 0, 1/2, 107/2), (0, 0, 0, 54)]
[(1/2, 0, 1/4, 5/4), (0, 1/6, 1/4, 19/12), (0, 0, 1/2, 1/2), (0, 0, 0, 2)]
[(1/2, 0, 0, 25/2), (0, 1/150, 1/2, 1792/75), (0, 0, 1, 0), (0, 0, 0, 25)]
[(1/2, 1/174, 15/58, 2015/174), (0, 1/87, 1/58, 3943/174), (0, 0, 1/2, 1/2), (0, 0, 0, 29)]
[(1/2, 1/54, 0, 160/27), (0, 1/27, 0, 77/27), (0, 0, 1/2, 9/2), (0, 0, 0, 9)]
[(1/2, 0, 1/4, 5/4), (0, 1/258, 49/172, 28267/516), (0, 0, 1/2, 5/2), (0, 0, 0, 86)]
[(1/2, 0, 1/4, 133/4), (0, 1/198, 17/132, 21235/396), (0, 0, 1/2, 1/2), (0, 0, 0, 66)]
[(1/2, 1/486, 1/81, 17173/243), (0, 1/243, 2/81, 14663/243), (0, 0, 1/2, 161/2), (0, 0, 0, 81)]
