[(1/2, 0, 0, 29/2), (0, 1/406, 1/2, 1732/203), (0, 0, 1, 0), (0, 0, 0, 29)]
[(1/2, 1/1022, 0, 6814/511), (0, 1/511, 0, 13628/511), (0, 0, 1/2, 73/2), (0, 0, 0, 73)]
[(1/2, 0, 0, 1/2), (0, 1/14, 1/2, 3/7), (0, 0, 1, 0), (0, 0, 0, 1)]
[(1/2, 0, 0, 37/2), (0, 1/518, 1/2, 150/259), (0, 0, 1, 0), (0, 0, 0, 37)]
[(1/2, 1/938, 0, 8620/469), (0, 1/469, 0, 17240/469), (0, 0, 1/2, 67/2), (0, 0, 0, 67)]
[(1/2, 1/686, 0, 7500/343), (0, 1/343, 0, 15000/343), (0, 0, 1/2, 49/2), (0, 0, 0, 49)]
[(1/2, 1/1218, 85/174, 101611/1218), (0, 1/609, 83/174, 86903/1218), (0, 0, 1/2, 17/2), (0, 0, 0, 87)]
[(1/2, 1/938, 0, 4847/469), (0, 1/469, 0, 9694/469), (0, 0, 1/2, 67/2), (0, 0, 0, 67)]
[(1/2, 1/602, 0, 4504/301), (0, 1/301, 0, 9008/301), (0, 0, 1/2, 43/2), (0, 0, 0, 43)]
[(1/2, 1/1274, 37/91, 47561/637), (0, 1/637, 57/182, 13795/1274), (0, 0, 1/2, 95/2), (0, 0, 0, 91)]
[(1/2, 0, 0, 13/2), (0, 1/182, 1/2, 668/91), (0, 0, 1, 0), (0, 0, 0, 13)]
[(1/2, 1/518, 0, 6695/259), (0, 1/259, 0, 3807/259), (0, 0, 1/2, 37/2), (0, 0, 0, 37)]
[(1/2, 1/658, 0, 2614/329), (0, 1/329, 0, 5228/329), (0, 0, 1/2, 47/2), (0, 0, 0, 47)]
[(1/2, 0, 2, 11/2), (0, 1/504, 167/72, 299/126), (0, 0, 4, 2), (0, 0, 0, 9)]
[(1/2, 1/322, 0, 3517/161), (0, 1/161, 0, 3331/161), (0, 0, 1/2, 23/2), (0, 0, 0, 23)]
[(1/2, 0, 0, 7/2), (0, 1/98, 1/2, 297/49), (0, 0, 1, 0), (0, 0, 0, 7)]
[(1/2, 1/658, 0, 8431/329), (0, 1/329, 0, 1399/329), (0, 0, 1/2, 47/2), (0, 0, 0, 47)]
[(1/2, 1/1050, 361/150, 1243/210), (0, 1/525, 347/150, 71/210), (0, 0, 5/2, 23/2), (0, 0, 0, 15)]
[(1/2, 1/602, 0, 6590/301), (0, 1/301, 0, 237/301), (0, 0, 1/2, 43/2), (0, 0, 0, 43)]
[(1/2, 1/182, 0, 346/91), (0, 1/91, 0, 692/91), (0, 0, 1/2, 13/2), (0, 0, 0, 13)]
[(1/2, 1/518, 0, 150/259), (0, 1/259, 0, 300/259), (0, 0, 1/2, 37/2), (0, 0, 0, 37)]
