[(1/2, 1/6, 0, 1/3), (0, 1/3, 0, 2/3), (0, 0, 1/2, 1/2), (0, 0, 0, 1)]
[(1/2, 0, 1/4, 5/4), (0, 1/6, 1/4, 19/12), (0, 0, 1/2, 1/2), (0, 0, 0, 2)]
[(1/2, 1/474, 67/158, 12707/474), (0, 1/237, 55/158, 25651/474), (0, 0, 1/2, 157/2), (0, 0, 0, 79)]
[(1/2, 1/186, 0, 190/93), (0, 1/93, 0, 380/93), (0, 0, 1/2, 31/2), (0, 0, 0, 31)]
[(1/2, 1/18, 1/6, 35/18), (0, 1/9, 1/3, 8/9), (0, 0, 1/2, 1/2), (0, 0, 0, 3)]
[(1/2, 1/186, 27/62, 4685/186), (0, 1/93, 23/62, 3511/186), (0, 0, 1/2, 1/2), (0, 0, 0, 31)]
[(1/2, 0, 0, 37/2), (0, 1/222, 1/2, 2278/111), (0, 0, 1, 0), (0, 0, 0, 37)]
[(1/2, 0, 0, 53/2), (0, 1/318, 1/2, 5893/159), (0, 0, 1, 0), (0, 0, 0, 53)]
[(1/2, 1/558, 0, 17488/279), (0, 1/279, 0, 9029/279), (0, 0, 1/2, 93/2), (0, 0, 0, 93)]
[(1/2, 0, 0, 31/2), (0, 1/186, 1/2, 190/93), (0, 0, 1, 0), (0, 0, 0, 31)]
[(1/2, 1/366, 0, 4696/183), (0, 1/183, 0, 9392/183), (0, 0, 1/2, 61/2), (0, 0, 0, 61)]
[(1/2, 0, 0, 45/2), (0, 1/270, 1/2, 127/135), (0, 0, 1, 0), (0, 0, 0, 45)]
[(1/2, 1/150, 0, 1327/75), (0, 1/75, 0, 779/75), (0, 0, 1/2, 25/2), (0, 0, 0, 25)]
[(1/2, 0, 1/4, 77/4), (0, 1/114, 5/76, 5695/228), (0, 0, 1/2, 1/2), (0, 0, 0, 38)]
[(1/2, 0, 1/4, 19/4), (0, 1/30, 1/20, 181/60), (0, 0, 1/2, 19/2), (0, 0, 0, 10)]
[(1/2, 1/570, 6/95, 25264/285), (0, 1/285, 12/95, 23453/285), (0, 0, 1/2, 1/2), (0, 0, 0, 95)]
[(1/2, 1/582, 87/194, 15995/582), (0, 1/291, 77/194, 32281/582), (0, 0, 1/2, 193/2), (0, 0, 0, 97)]
[(1/2, 1/30, 1/5, 1/15), (0, 1/15, 2/5, 2/15), (0, 0, 1/2, 9/2), (0, 0, 0, 5)]
[(1/2, 1/90, 0, 127/45), (0, 1/45, 0, 254/45), (0, 0, 1/2, 15/2), (0, 0, 0, 15)]
[(1/2, 0, 0, 15/2), (0, 1/90, 1/2, 127/45), (0, 0, 1, 0), (0, 0, 0, 15)]
[(1/2, 0, 1/4, 99/4), (0, 1/150, 21/100, 4321/300), (0, 0, 1/2, 99/2), (0, 0, 0, 50)]
[(1/2, 1/54, 1/18, 467/54), (0, 1/27, 1/9, 224/27), (0, 0, 1/2, 1/2), (0, 0, 0, 9)]
