[(1/2, 0, 1/2, 0), (0, 1/22, 0, 105/22), (0, 0, 1, 0), (0, 0, 0, 11)]
[(1/2, 0, 17/2, 0), (0, 1/34, 267/17, 1/2), (0, 0, 17, 0), (0, 0, 0, 1)]
[(1/2, 0, 1/2, 0), (0, 1/32, 0, 147/32), (0, 0, 1, 0), (0, 0, 0, 16)]
[(1/2, 0, 1/2, 0), (0, 1/28, 0, 141/28), (0, 0, 1, 0), (0, 0, 0, 14)]
[(1/2, 0, 13/2, 0), (0, 1/26, 5/13, 1/2), (0, 0, 13, 0), (0, 0, 0, 1)]
[(1/2, 0, 1/2, 0), (0, 1/8, 0, 19/8), (0, 0, 1, 0), (0, 0, 0, 4)]
[(1/2, 0, 1/2, 4), (0, 1/16, 1/2, 77/16), (0, 0, 1, 0), (0, 0, 0, 8)]
[(1/2, 0, 1/2, 2), (0, 1/8, 1/2, 27/8), (0, 0, 1, 0), (0, 0, 0, 4)]
[(1/2, 0, 1/2, 0), (0, 1/4, 0, 3/4), (0, 0, 1, 0), (0, 0, 0, 2)]
[(1/2, 0, 11/2, 0), (0, 1/22, 113/11, 1/2), (0, 0, 11, 0), (0, 0, 0, 1)]
[(1/2, 0, 7/2, 0), (0, 1/14, 3/7, 1/2), (0, 0, 7, 0), (0, 0, 0, 1)]
[(1/2, 0, 1/2, 0), (0, 1/28, 0, 349/28), (0, 0, 1, 0), (0, 0, 0, 14)]
[(1/2, 0, 1/2, 0), (0, 1/26, 0, 159/26), (0, 0, 1, 0), (0, 0, 0, 13)]
[(1/2, 0, 1/2, 0), (0, 1/2, 0, 1/2), (0, 0, 1, 0), (0, 0, 0, 1)]
[(1/2, 0, 19/2, 0), (0, 1/38, 275/19, 1/2), (0, 0, 19, 0), (0, 0, 0, 1)]
[(1/2, 0, 1/2, 0), (0, 1/16, 0, 19/16), (0, 0, 1, 0), (0, 0, 0, 8)]
[(1/2, 0, 1/2, 10), (0, 1/36, 7/9, 67/36), (0, 0, 1, 2), (0, 0, 0, 18)]
[(1/2, 0, 1/2, 0), (0, 1/14, 0, 43/14), (0, 0, 1, 0), (0, 0, 0, 7)]
[(1/2, 0, 1/2, 8), (0, 1/32, 1/2, 237/32), (0, 0, 1, 0), (0, 0, 0, 16)]
[(1/2, 0, 1/2, 4), (0, 1/36, 4/9, 61/36), (0, 0, 1, 8), (0, 0, 0, 18)]
[(1/2, 0, 1/2, 1), (0, 1/22, 4/11, 95/22), (0, 0, 1, 2), (0, 0, 0, 11)]
[(1/2, 0, 1/2, 2), (0, 1/6, 1/3, 7/6), (0, 0, 1, 1), (0, 0, 0, 3)]
[(1/2, 0, 1/2, 4), (0, 1/28, 3/7, 219/28), (0, 0, 1, 8), (0, 0, 0, 14)]
[(1/2, 0, 1/2, 5), (0, 1/18, 8/9, 101/18), (0, 0, 1, 1), (0, 0, 0, 9)]
[(1/2, 0, 1/2, 2), (0, 1/18, 2/9, 125/18), (0, 0, 1, 4), (0, 0, 0, 9)]
[(1/2, 0, 1/2, 2), (0, 1/10, 1/5, 37/10), (0, 0, 1, 4), (0, 0, 0, 5)]
[(1/2, 0, 1/2, 14), (0, 1/36, 4/9, 587/36), (0, 0, 1, 10), (0, 0, 0, 18)]
[(1/2, 0, 1/2, 8), (0, 1/24, 1/3, 211/24), (0, 0, 1, 4), (0, 0, 0, 12)]
[(1/2, 0, 7/2, 0), (0, 1/28, 26/7, 3/4), (0, 0, 7, 0), (0, 0, 0, 2)]
[(1/2, 0, 1/2, 14), (0, 1/36, 4/9, 101/36), (0, 0, 1, 10), (0, 0, 0, 18)]
[(1/2, 0, 1/2, 11), (0, 1/34, 14/17, 365/34), (0, 0, 1, 5), (0, 0, 0, 17)]
[(1/2, 0, 1/2, 8), (0, 1/22, 9/11, 91/22), (0, 0, 1, 5), (0, 0, 0, 11)]
[(1/2, 0, 1/2, 13), (0, 1/30, 1/15, 263/30), (0, 0, 1, 11), (0, 0, 0, 15)]
[(1/2, 0, 1/2, 1), (0, 1/6, 2/3, 1/6), (0, 0, 1, 2), (0, 0, 0, 3)]
[(1/2, 0, 1/2, 3), (0, 1/10, 4/5, 47/10), (0, 0, 1, 1), (0, 0, 0, 5)]
[(1/2, 0, 1/2, 3), (0, 1/22, 9/11, 151/22), (0, 0, 1, 6), (0, 0, 0, 11)]
[(1/2, 0, 1/2, 6), (0, 1/32, 7/8, 475/32), (0, 0, 1, 12), (0, 0, 0, 16)]
[(1/2, 0, 1/2, 4), (0, 1/28, 4/7, 299/28), (0, 0, 1, 8), (0, 0, 0, 14)]
[(1/2, 0, 1/2, 8), (0, 1/26, 9/13, 241/26), (0, 0, 1, 3), (0, 0, 0, 13)]
[(1/2, 0, 1/2, 12), (0, 1/40, 4/5, 307/40), (0, 0, 1, 4), (0, 0, 0, 20)]
[(1/2, 0, 1/2, 4), (0, 1/18, 8/9, 61/18), (0, 0, 1, 8), (0, 0, 0, 9)]
[(1/2, 0, 1/2, 12), (0, 1/32, 3/4, 51/32), (0, 0, 1, 8), (0, 0, 0, 16)]
[(1/2, 0, 1/2, 2), (0, 1/12, 2/3, 13/12), (0, 0, 1, 4), (0, 0, 0, 6)]
[(1/2, 0, 1/2, 2), (0, 1/30, 14/15, 383/30), (0, 0, 1, 4), (0, 0, 0, 15)]
[(1/2, 0, 1/2, 2), (0, 1/36, 1/9, 611/36), (0, 0, 1, 4), (0, 0, 0, 18)]
[(1/2, 0, 1/2, 4), (0, 1/24, 2/3, 205/24), (0, 0, 1, 8), (0, 0, 0, 12)]
[(1/2, 0, 1/2, 2), (0, 1/26, 10/13, 281/26), (0, 0, 1, 4), (0, 0, 0, 13)]
[(1/2, 0, 1/2, 4), (0, 1/36, 4/9, 547/36), (0, 0, 1, 8), (0, 0, 0, 18)]
[(1/2, 0, 1/2, 9), (0, 1/34, 2/17, 47/34), (0, 0, 1, 1), (0, 0, 0, 17)]
[(1/2, 0, 1/2, 14), (0, 1/32, 3/8, 411/32), (0, 0, 1, 12), (0, 0, 0, 16)]
[(1/2, 0, 1/2, 10), (0, 1/22, 7/11, 51/22), (0, 0, 1, 9), (0, 0, 0, 11)]
[(1/2, 0, 1/2, 5), (0, 1/26, 4/13, 163/26), (0, 0, 1, 10), (0, 0, 0, 13)]
