[(1/2, 0, 0, 5/2), (0, 1/70, 1/2, 163/35), (0, 0, 1, 0), (0, 0, 0, 5)]
[(1/2, 1/14, 0, 2/7), (0, 1/7, 0, 4/7), (0, 0, 1/2, 1/2), (0, 0, 0, 1)]
[(1/2, 1/70, 0, 37/35), (0, 1/35, 0, 74/35), (0, 0, 1/2, 5/2), (0, 0, 0, 5)]
[(1/2, 1/210, 2/15, 1129/105), (0, 1/105, 4/15, 683/105), (0, 0, 1/2, 7/2), (0, 0, 0, 15)]
[(1/2, 1/70, 0, 163/35), (0, 1/35, 0, 151/35), (0, 0, 1/2, 5/2), (0, 0, 0, 5)]
[(1/2, 0, 0, 9/2), (0, 1/126, 1/18, 457/63), (0, 0, 1, 7), (0, 0, 0, 9)]
[(1/2, 1/238, 0, 1703/119), (0, 1/119, 0, 1383/119), (0, 0, 1/2, 17/2), (0, 0, 0, 17)]
[(1/2, 1/98, 0, 44/49), (0, 1/49, 0, 88/49), (0, 0, 1/2, 7/2), (0, 0, 0, 7)]
[(1/2, 0, 0, 1/2), (0, 1/14, 1/2, 2/7), (0, 0, 1, 0), (0, 0, 0, 1)]
[(1/2, 1/210, 7/15, 751/105), (0, 1/105, 13/30, 589/210), (0, 0, 1/2, 23/2), (0, 0, 0, 15)]
[(1/2, 0, 0, 5/2), (0, 1/70, 1/2, 37/35), (0, 0, 1, 0), (0, 0, 0, 5)]
[(1/2, 1/154, 0, 37/77), (0, 1/77, 0, 74/77), (0, 0, 1/2, 11/2), (0, 0, 0, 11)]
[(1/2, 1/238, 15/34, 2657/238), (0, 1/119, 13/34, 1625/238), (0, 0, 1/2, 31/2), (0, 0, 0, 17)]
[(1/2, 1/154, 0, 205/77), (0, 1/77, 0, 410/77), (0, 0, 1/2, 11/2), (0, 0, 0, 11)]
[(1/2, 1/182, 0, 1010/91), (0, 1/91, 0, 837/91), (0, 0, 1/2, 13/2), (0, 0, 0, 13)]
[(1/2, 1/182, 0, 849/91), (0, 1/91, 0, 515/91), (0, 0, 1/2, 13/2), (0, 0, 0, 13)]
[(1/2, 1/182, 11/26, 865/182), (0, 1/91, 9/26, 183/182), (0, 0, 1/2, 17/2), (0, 0, 0, 13)]
[(1/2, 0, 0, 5/2), (0, 1/70, 1/10, 44/35), (0, 0, 1, 3), (0, 0, 0, 5)]
[(1/2, 1/42, 1/3, 44/21), (0, 1/21, 1/6, 29/42), (0, 0, 1/2, 1/2), (0, 0, 0, 3)]
[(1/2, 1/70, 2/5, 79/35), (0, 1/35, 3/10, 71/70), (0, 0, 1/2, 7/2), (0, 0, 0, 5)]
[(1/2, 1/126, 5/18, 305/126), (0, 1/63, 1/18, 295/126), (0, 0, 1/2, 5/2), (0, 0, 0, 9)]
[(1/2, 1/42, 1/6, 67/42), (0, 1/21, 1/3, 4/21), (0, 0, 1/2, 5/2), (0, 0, 0, 3)]
[(1/2, 1/98, 3/14, 221/98), (0, 1/49, 3/7, 221/49), (0, 0, 1/2, 1/2), (0, 0, 0, 7)]
[(1/2, 1/42, 1/6, 95/42), (0, 1/21, 1/3, 32/21), (0, 0, 1/2, 1/2), (0, 0, 0, 3)]
[(1/2, 1/182, 3/26, 2027/182), (0, 1/91, 3/13, 844/91), (0, 0, 1/2, 3/2), (0, 0, 0, 13)]
[(1/2, 0, 0, 3/2), (0, 1/42, 1/6, 16/21), (0, 0, 1, 1), (0, 0, 0, 3)]
[(1/2, 1/210, 1/3, 1087/105), (0, 1/105, 1/6, 1723/210), (0, 0, 1/2, 25/2), (0, 0, 0, 15)]
[(1/2, 1/182, 11/26, 487/182), (0, 1/91, 9/26, 155/182), (0, 0, 1/2, 9/2), (0, 0, 0, 13)]
[(1/2, 1/126, 4/9, 520/63), (0, 1/63, 7/18, 253/126), (0, 0, 1/2, 11/2), (0, 0, 0, 9)]
[(1/2, 0, 0, 3/2), (0, 1/84, 13/12, 43/21), (0, 0, 2, 1), (0, 0, 0, 3)]
[(1/2, 0, 0, 7/2), (0, 1/98, 3/14, 282/49), (0, 0, 1, 1), (0, 0, 0, 7)]
[(1/2, 1/210, 1/30, 2713/210), (0, 1/105, 1/15, 1138/105), (0, 0, 1/2, 23/2), (0, 0, 0, 15)]
[(1/2, 1/154, 9/22, 39/154), (0, 1/77, 7/22, 617/154), (0, 0, 1/2, 15/2), (0, 0, 0, 11)]
[(1/2, 1/154, 4/11, 709/77), (0, 1/77, 5/22, 1373/154), (0, 0, 1/2, 19/2), (0, 0, 0, 11)]
[(1/2, 1/182, 1/13, 1017/91), (0, 1/91, 2/13, 851/91), (0, 0, 1/2, 17/2), (0, 0, 0, 13)]
[(1/2, 1/126, 4/9, 128/63), (0, 1/63, 7/18, 71/126), (0, 0, 1/2, 7/2), (0, 0, 0, 9)]
[(1/2, 0, 0, 7/2), (0, 1/98, 9/14, 275/49), (0, 0, 1, 3), (0, 0, 0, 7)]
[(1/2, 1/182, 9/26, 2195/182), (0, 1/91, 5/26, 1023/182), (0, 0, 1/2, 11/2), (0, 0, 0, 13)]
[(1/2, 1/154, 3/22, 529/154), (0, 1/77, 3/11, 529/77), (0, 0, 1/2, 19/2), (0, 0, 0, 11)]
[(1/2, 0, 0, 7/2), (0, 1/98, 11/14, 233/49), (0, 0, 1, 6), (0, 0, 0, 7)]
[(1/2, 0, 0, 5/2), (0, 1/70, 1/10, 156/35), (0, 0, 1, 2), (0, 0, 0, 5)]
[(1/2, 1/210, 1/6, 2251/210), (0, 1/105, 1/3, 676/105), (0, 0, 1/2, 25/2), (0, 0, 0, 15)]
