[(1/2, 1/6, 0, 1/3), (0, 1/3, 0, 2/3), (0, 0, 1/2, 1/2), (0, 0, 0, 1)]
[(1/2, 1/258, 9/43, 1969/129), (0, 1/129, 18/43, 3938/129), (0, 0, 1/2, 1/2), (0, 0, 0, 43)]
[(1/2, 1/138, 5/46, 2249/138), (0, 1/69, 5/23, 662/69), (0, 0, 1/2, 1/2), (0, 0, 0, 23)]
[(1/2, 0, 1/4, 51/4), (0, 1/78, 25/52, 2989/156), (0, 0, 1/2, 51/2), (0, 0, 0, 26)]
[(1/2, 0, 1/4, 5/4), (0, 1/6, 1/4, 19/12), (0, 0, 1/2, 1/2), (0, 0, 0, 2)]
[(1/2, 0, 1/4, 3/4), (0, 1/228, 59/152, 3223/456), (0, 0, 1/2, 3/2), (0, 0, 0, 76)]
[(1/2, 1/138, 5/46, 3041/138), (0, 1/69, 5/23, 1454/69), (0, 0, 1/2, 45/2), (0, 0, 0, 23)]
[(1/2, 1/54, 0, 67/27), (0, 1/27, 0, 134/27), (0, 0, 1/2, 9/2), (0, 0, 0, 9)]
[(1/2, 0, 0, 9/2), (0, 1/54, 1/2, 67/27), (0, 0, 1, 0), (0, 0, 0, 9)]
[(1/2, 1/342, 14/57, 6712/171), (0, 1/171, 28/57, 3677/171), (0, 0, 1/2, 1/2), (0, 0, 0, 57)]
[(1/2, 1/234, 0, 1228/117), (0, 1/117, 0, 2456/117), (0, 0, 1/2, 39/2), (0, 0, 0, 39)]
[(1/2, 1/162, 0, 1039/81), (0, 1/81, 0, 2078/81), (0, 0, 1/2, 27/2), (0, 0, 0, 27)]
[(1/2, 0, 1/4, 93/4), (0, 1/138, 13/92, 6151/276), (0, 0, 1/2, 1/2), (0, 0, 0, 46)]
[(1/2, 0, 1/4, 75/4), (0, 1/114, 37/76, 2089/228), (0, 0, 1/2, 75/2), (0, 0, 0, 38)]
[(1/2, 1/114, 9/38, 1073/114), (0, 1/57, 9/19, 1073/57), (0, 0, 1/2, 37/2), (0, 0, 0, 19)]
[(1/2, 1/78, 0, 214/39), (0, 1/39, 0, 428/39), (0, 0, 1/2, 13/2), (0, 0, 0, 13)]
[(1/2, 1/306, 11/51, 1060/153), (0, 1/153, 22/51, 2120/153), (0, 0, 1/2, 1/2), (0, 0, 0, 51)]
[(1/2, 0, 0, 27/2), (0, 1/162, 1/2, 1039/81), (0, 0, 1, 0), (0, 0, 0, 27)]
[(1/2, 0, 0, 3/2), (0, 1/18, 1/2, 13/9), (0, 0, 1, 0), (0, 0, 0, 3)]
[(1/2, 1/414, 32/69, 12733/207), (0, 1/207, 59/138, 22159/414), (0, 0, 1/2, 1/2), (0, 0, 0, 69)]
[(1/2, 1/366, 0, 3688/183), (0, 1/183, 0, 7376/183), (0, 0, 1/2, 61/2), (0, 0, 0, 61)]
[(1/2, 1/78, 0, 124/39), (0, 1/39, 0, 248/39), (0, 0, 1/2, 13/2), (0, 0, 0, 13)]
[(1/2, 0, 1/4, 67/4), (0, 1/102, 7/68, 619/204), (0, 0, 1/2, 67/2), (0, 0, 0, 34)]
[(1/2, 1/102, 5/34, 335/102), (0, 1/51, 5/17, 335/51), (0, 0, 1/2, 1/2), (0, 0, 0, 17)]
[(1/2, 1/18, 0, 13/9), (0, 1/9, 0, 26/9), (0, 0, 1/2, 3/2), (0, 0, 0, 3)]
[(1/2, 0, 0, 17/2), (0, 1/102, 1/2, 658/51), (0, 0, 1, 0), (0, 0, 0, 17)]
[(1/2, 1/366, 0, 3754/183), (0, 1/183, 0, 7508/183), (0, 0, 1/2, 61/2), (0, 0, 0, 61)]
[(1/2, 1/258, 0, 4669/129), (0, 1/129, 0, 3791/129), (0, 0, 1/2, 43/2), (0, 0, 0, 43)]
[(1/2, 1/114, 5/19, 157/57), (0, 1/57, 1/38, 685/114), (0, 0, 1/2, 37/2), (0, 0, 0, 19)]
[(1/2, 0, 1/4, 93/4), (0, 1/138, 33/92, 10915/276), (0, 0, 1/2, 1/2), (0, 0, 0, 46)]
[(1/2, 1/414, 14/69, 10681/207), (0, 1/207, 28/69, 7079/207), (0, 0, 1/2, 1/2), (0, 0, 0, 69)]
[(1/2, 1/234, 0, 2659/117), (0, 1/117, 0, 755/117), (0, 0, 1/2, 39/2), (0, 0, 0, 39)]
[(1/2, 0, 1/4, 51/4), (0, 1/78, 1/52, 2341/156), (0, 0, 1/2, 51/2), (0, 0, 0, 26)]
[(1/2, 0, 1/4, 75/4), (0, 1/114, 1/76, 685/228), (0, 0, 1/2, 75/2), (0, 0, 0, 38)]
[(1/2, 1/102, 0, 658/51), (0, 1/51, 0, 449/51), (0, 0, 1/2, 17/2), (0, 0, 0, 17)]
[(1/2, 0, 1/4, 29/4), (0, 1/228, 43/152, 33145/456), (0, 0, 1/2, 29/2), (0, 0, 0, 76)]
[(1/2, 1/342, 0, 6223/171), (0, 1/171, 0, 2699/171), (0, 0, 1/2, 57/2), (0, 0, 0, 57)]
[(1/2, 1/306, 0, 1525/153), (0, 1/153, 0, 3050/153), (0, 0, 1/2, 51/2), (0, 0, 0, 51)]
[(1/2, 0, 1/4, 77/4), (0, 1/120, 33/80, 571/240), (0, 0, 1/2, 77/2), (0, 0, 0, 40)]
[(1/2, 0, 1/4, 115/4), (0, 1/198, 41/132, 21565/396), (0, 0, 1/2, 115/2), (0, 0, 0, 66)]
[(1/2, 0, 5/4, 9/4), (0, 1/90, 23/20, 59/36), (0, 0, 5/2, 9/2), (0, 0, 0, 6)]
[(1/2, 0, 1/4, 19/4), (0, 1/204, 29/136, 5281/408), (0, 0, 1/2, 19/2), (0, 0, 0, 68)]
[(1/2, 1/306, 41/102, 4469/306), (0, 1/153, 31/102, 4501/306), (0, 0, 1/2, 29/2), (0, 0, 0, 51)]
[(1/2, 1/354, 7/59, 8668/177), (0, 1/177, 14/59, 6893/177), (0, 0, 1/2, 25/2), (0, 0, 0, 59)]
[(1/2, 0, 1/4, 205/4), (0, 1/186, 41/124, 20683/372), (0, 0, 1/2, 81/2), (0, 0, 0, 62)]
[(1/2, 0, 1, 35/2), (0, 1/216, 25/72, 1105/108), (0, 0, 2, 17), (0, 0, 0, 18)]
