[(1/2, 0, 0, 19/2), (0, 1/266, 1/2, 16/133), (0, 0, 1, 0), (0, 0, 0, 19)]
[(1/2, 1/1050, 26/75, 17159/525), (0, 1/525, 29/150, 62861/1050), (0, 0, 1/2, 11/2), (0, 0, 0, 75)]
[(1/2, 1/658, 0, 2305/329), (0, 1/329, 0, 4610/329), (0, 0, 1/2, 47/2), (0, 0, 0, 47)]
[(1/2, 0, 0, 13/2), (0, 1/182, 1/2, 583/91), (0, 0, 1, 0), (0, 0, 0, 13)]
[(1/2, 0, 0, 39/2), (0, 1/546, 41/78, 6806/273), (0, 0, 1, 37), (0, 0, 0, 39)]
[(1/2, 0, 0, 1/2), (0, 1/14, 1/2, 2/7), (0, 0, 1, 0), (0, 0, 0, 1)]
[(1/2, 0, 0, 13/2), (0, 1/182, 1/2, 93/91), (0, 0, 1, 0), (0, 0, 0, 13)]
[(1/2, 0, 0, 45/2), (0, 1/630, 47/90, 3929/315), (0, 0, 1, 16), (0, 0, 0, 45)]
[(1/2, 0, 0, 17/2), (0, 1/476, 13/68, 1646/119), (0, 0, 2, 5), (0, 0, 0, 17)]
[(1/2, 1/238, 0, 807/119), (0, 1/119, 0, 1614/119), (0, 0, 1/2, 17/2), (0, 0, 0, 17)]
[(1/2, 0, 2, 17/2), (0, 1/504, 29/72, 281/126), (0, 0, 4, 8), (0, 0, 0, 9)]
[(1/2, 1/322, 0, 891/161), (0, 1/161, 0, 1782/161), (0, 0, 1/2, 23/2), (0, 0, 0, 23)]
[(1/2, 0, 0, 19/2), (0, 1/266, 1/2, 345/133), (0, 0, 1, 0), (0, 0, 0, 19)]
[(1/2, 0, 0, 17/2), (0, 1/238, 1/2, 807/119), (0, 0, 1, 0), (0, 0, 0, 17)]
[(1/2, 0, 0, 17/2), (0, 1/238, 1/2, 1794/119), (0, 0, 1, 0), (0, 0, 0, 17)]
[(1/2, 1/826, 0, 12518/413), (0, 1/413, 0, 669/413), (0, 0, 1/2, 59/2), (0, 0, 0, 59)]
[(1/2, 1/322, 0, 3341/161), (0, 1/161, 0, 2979/161), (0, 0, 1/2, 23/2), (0, 0, 0, 23)]
[(1/2, 1/238, 0, 1794/119), (0, 1/119, 0, 1565/119), (0, 0, 1/2, 17/2), (0, 0, 0, 17)]
[(1/2, 1/266, 0, 16/133), (0, 1/133, 0, 32/133), (0, 0, 1/2, 19/2), (0, 0, 0, 19)]
[(1/2, 1/826, 0, 18811/413), (0, 1/413, 0, 13255/413), (0, 0, 1/2, 59/2), (0, 0, 0, 59)]
