[(1/2, 1/6, 0, 1/3), (0, 1/3, 0, 2/3), (0, 0, 1/2, 1/2), (0, 0, 0, 1)]
[(1/2, 1/18, 1/3, 4/9), (0, 1/9, 1/6, 25/18), (0, 0, 1/2, 5/2), (0, 0, 0, 3)]
[(1/2, 1/150, 0, 1198/75), (0, 1/75, 0, 521/75), (0, 0, 1/2, 25/2), (0, 0, 0, 25)]
[(1/2, 1/150, 0, 52/75), (0, 1/75, 0, 104/75), (0, 0, 1/2, 25/2), (0, 0, 0, 25)]
[(1/2, 0, 1/4, 77/4), (0, 1/102, 15/68, 5053/204), (0, 0, 1/2, 9/2), (0, 0, 0, 34)]
[(1/2, 1/138, 3/46, 1751/138), (0, 1/69, 3/23, 164/69), (0, 0, 1/2, 45/2), (0, 0, 0, 23)]
[(1/2, 0, 1/4, 19/4), (0, 1/30, 9/20, 589/60), (0, 0, 1/2, 19/2), (0, 0, 0, 10)]
[(1/2, 1/138, 0, 1498/69), (0, 1/69, 0, 1409/69), (0, 0, 1/2, 23/2), (0, 0, 0, 23)]
[(1/2, 0, 1/4, 11/4), (0, 1/18, 1/12, 133/36), (0, 0, 1/2, 11/2), (0, 0, 0, 6)]
[(1/2, 1/90, 0, 523/45), (0, 1/45, 0, 371/45), (0, 0, 1/2, 15/2), (0, 0, 0, 15)]
[(1/2, 0, 1/4, 5/4), (0, 1/6, 1/4, 19/12), (0, 0, 1/2, 1/2), (0, 0, 0, 2)]
[(1/2, 1/54, 0, 226/27), (0, 1/27, 0, 209/27), (0, 0, 1/2, 9/2), (0, 0, 0, 9)]
[(1/2, 1/90, 0, 577/45), (0, 1/45, 0, 479/45), (0, 0, 1/2, 15/2), (0, 0, 0, 15)]
[(1/2, 1/30, 0, 52/15), (0, 1/15, 0, 29/15), (0, 0, 1/2, 5/2), (0, 0, 0, 5)]
[(1/2, 0, 1/4, 59/4), (0, 1/90, 1/60, 781/180), (0, 0, 1/2, 59/2), (0, 0, 0, 30)]
[(1/2, 1/162, 0, 1927/81), (0, 1/81, 0, 1667/81), (0, 0, 1/2, 27/2), (0, 0, 0, 27)]
[(1/2, 0, 0, 9/2), (0, 1/54, 1/2, 226/27), (0, 0, 1, 0), (0, 0, 0, 9)]
[(1/2, 0, 1/4, 21/4), (0, 1/30, 9/20, 211/60), (0, 0, 1/2, 1/2), (0, 0, 0, 10)]
[(1/2, 0, 1/4, 59/4), (0, 1/90, 19/60, 1159/180), (0, 0, 1/2, 59/2), (0, 0, 0, 30)]
[(1/2, 1/30, 1/5, 1/15), (0, 1/15, 2/5, 2/15), (0, 0, 1/2, 9/2), (0, 0, 0, 5)]
[(1/2, 0, 1/4, 29/4), (0, 1/60, 9/40, 739/120), (0, 0, 1/2, 29/2), (0, 0, 0, 20)]
[(1/2, 0, 1/4, 29/4), (0, 1/36, 1/24, 619/72), (0, 0, 1/2, 5/2), (0, 0, 0, 12)]
[(1/2, 0, 1/4, 19/4), (0, 1/84, 27/56, 2887/168), (0, 0, 1/2, 19/2), (0, 0, 0, 28)]
[(1/2, 0, 1, 11/2), (0, 1/72, 37/24, 49/36), (0, 0, 2, 5), (0, 0, 0, 6)]
[(1/2, 0, 1/4, 133/4), (0, 1/102, 3/68, 4489/204), (0, 0, 1/2, 65/2), (0, 0, 0, 34)]
