[(1/2, 0, 0, 1/2), (0, 1/22, 1/2, 4/11), (0, 0, 1, 0), (0, 0, 0, 1)]
[(1/2, 0, 3/4, 5/4), (0, 1/132, 19/24, 9/88), (0, 0, 3/2, 5/2), (0, 0, 0, 4)]
[(1/2, 1/22, 0, 4/11), (0, 1/11, 0, 8/11), (0, 0, 1/2, 1/2), (0, 0, 0, 1)]
[(1/2, 0, 1/4, 9/4), (0, 1/110, 3/20, 973/220), (0, 0, 1/2, 9/2), (0, 0, 0, 10)]
[(1/2, 0, 0, 1/2), (0, 1/66, 13/6, 5/11), (0, 0, 3, 0), (0, 0, 0, 1)]
[(1/2, 1/110, 1/10, 261/110), (0, 1/55, 1/5, 261/55), (0, 0, 1/2, 9/2), (0, 0, 0, 5)]
[(1/2, 1/154, 2/7, 411/77), (0, 1/77, 1/14, 489/154), (0, 0, 1/2, 1/2), (0, 0, 0, 7)]
[(1/2, 0, 3/4, 3/4), (0, 1/66, 1/12, 53/44), (0, 0, 3/2, 3/2), (0, 0, 0, 2)]
[(1/2, 0, 1, 1/2), (0, 1/44, 3/4, 15/22), (0, 0, 2, 0), (0, 0, 0, 1)]
[(1/2, 1/110, 2/5, 92/55), (0, 1/55, 3/10, 423/110), (0, 0, 1/2, 9/2), (0, 0, 0, 5)]
[(1/2, 1/154, 2/7, 422/77), (0, 1/77, 1/14, 687/154), (0, 0, 1/2, 13/2), (0, 0, 0, 7)]
[(1/2, 0, 0, 1/2), (0, 1/66, 5/6, 5/11), (0, 0, 3, 0), (0, 0, 0, 1)]
[(1/2, 0, 3/4, 5/4), (0, 1/66, 17/12, 75/44), (0, 0, 3/2, 1/2), (0, 0, 0, 2)]
[(1/2, 0, 1/4, 9/4), (0, 1/44, 1/8, 247/88), (0, 0, 1/2, 1/2), (0, 0, 0, 4)]
[(1/2, 0, 1/4, 1/4), (0, 1/22, 1/4, 71/44), (0, 0, 1/2, 1/2), (0, 0, 0, 2)]
[(1/2, 0, 1, 1/2), (0, 1/88, 3/8, 37/44), (0, 0, 2, 1), (0, 0, 0, 2)]
[(1/2, 1/242, 1/22, 1229/242), (0, 1/121, 1/11, 1229/121), (0, 0, 1/2, 15/2), (0, 0, 0, 11)]
[(1/2, 0, 1/4, 25/4), (0, 1/88, 7/16, 1281/176), (0, 0, 1/2, 9/2), (0, 0, 0, 8)]
[(1/2, 1/110, 1/10, 239/110), (0, 1/55, 1/5, 239/55), (0, 0, 1/2, 1/2), (0, 0, 0, 5)]
[(1/2, 0, 1/4, 7/4), (0, 1/44, 3/8, 203/88), (0, 0, 1/2, 7/2), (0, 0, 0, 4)]
[(1/2, 0, 1/4, 7/4), (0, 1/44, 1/8, 137/88), (0, 0, 1/2, 7/2), (0, 0, 0, 4)]
[(1/2, 1/66, 2/3, 5/11), (0, 1/33, 4/3, 10/11), (0, 0, 3/2, 1/2), (0, 0, 0, 1)]
[(1/2, 1/154, 1/7, 59/77), (0, 1/77, 2/7, 118/77), (0, 0, 1/2, 9/2), (0, 0, 0, 7)]
[(1/2, 1/66, 5/6, 21/22), (0, 1/33, 1/6, 9/22), (0, 0, 3/2, 1/2), (0, 0, 0, 1)]
[(1/2, 0, 1/4, 7/4), (0, 1/88, 1/16, 489/176), (0, 0, 1/2, 7/2), (0, 0, 0, 8)]
[(1/2, 1/154, 5/14, 503/154), (0, 1/77, 3/14, 621/154), (0, 0, 1/2, 5/2), (0, 0, 0, 7)]
[(1/2, 1/154, 3/14, 745/154), (0, 1/77, 3/7, 206/77), (0, 0, 1/2, 13/2), (0, 0, 0, 7)]
[(1/2, 0, 1, 3/2), (0, 1/88, 13/8, 81/44), (0, 0, 2, 1), (0, 0, 0, 2)]
[(1/2, 0, 3/4, 3/4), (0, 1/66, 17/12, 53/44), (0, 0, 3/2, 3/2), (0, 0, 0, 2)]
[(1/2, 1/242, 5/11, 1038/121), (0, 1/121, 9/22, 643/242), (0, 0, 1/2, 7/2), (0, 0, 0, 11)]
[(1/2, 0, 3/4, 5/4), (0, 1/66, 1/12, 75/44), (0, 0, 3/2, 1/2), (0, 0, 0, 2)]
[(1/2, 0, 1/4, 7/4), (0, 1/22, 1/4, 49/44), (0, 0, 1/2, 3/2), (0, 0, 0, 2)]
[(1/2, 1/110, 2/5, 158/55), (0, 1/55, 3/10, 27/110), (0, 0, 1/2, 1/2), (0, 0, 0, 5)]
[(1/2, 0, 1, 1/2), (0, 1/88, 13/8, 15/44), (0, 0, 2, 1), (0, 0, 0, 2)]
[(1/2, 1/154, 3/14, 921/154), (0, 1/77, 3/7, 382/77), (0, 0, 1/2, 1/2), (0, 0, 0, 7)]
[(1/2, 0, 1, 1/2), (0, 1/44, 5/4, 15/22), (0, 0, 2, 0), (0, 0, 0, 1)]
[(1/2, 0, 1, 3/2), (0, 1/88, 3/8, 59/44), (0, 0, 2, 1), (0, 0, 0, 2)]
[(1/2, 0, 1/4, 9/4), (0, 1/44, 3/8, 181/88), (0, 0, 1/2, 1/2), (0, 0, 0, 4)]
