[(1/2, 0, 1, 13/2), (0, 1/704, 5/64, 2567/352), (0, 0, 2, 13), (0, 0, 0, 16)]
[(1/2, 1/1606, 0, 26657/803), (0, 1/803, 0, 53314/803), (0, 0, 1/2, 73/2), (0, 0, 0, 73)]
[(1/2, 0, 1/4, 71/4), (0, 1/506, 15/92, 45567/1012), (0, 0, 1/2, 71/2), (0, 0, 0, 46)]
[(1/2, 0, 1/4, 73/4), (0, 1/484, 9/88, 37999/968), (0, 0, 1/2, 73/2), (0, 0, 0, 44)]
[(1/2, 1/286, 0, 774/143), (0, 1/143, 0, 1548/143), (0, 0, 1/2, 13/2), (0, 0, 0, 13)]
[(1/2, 0, 1, 11/2), (0, 1/572, 99/52, 1863/286), (0, 0, 2, 11), (0, 0, 0, 13)]
[(1/2, 1/374, 0, 257/187), (0, 1/187, 0, 514/187), (0, 0, 1/2, 17/2), (0, 0, 0, 17)]
[(1/2, 0, 0, 13/2), (0, 1/858, 109/78, 1622/143), (0, 0, 3, 3), (0, 0, 0, 13)]
[(1/2, 0, 0, 13/2), (0, 1/286, 1/2, 1423/143), (0, 0, 1, 0), (0, 0, 0, 13)]
[(1/2, 0, 0, 11/2), (0, 1/242, 1/2, 323/121), (0, 0, 1, 0), (0, 0, 0, 11)]
[(1/2, 1/1342, 0, 9222/671), (0, 1/671, 0, 18444/671), (0, 0, 1/2, 61/2), (0, 0, 0, 61)]
[(1/2, 0, 1/4, 127/4), (0, 1/638, 53/116, 3085/1276), (0, 0, 1/2, 11/2), (0, 0, 0, 58)]
[(1/2, 1/22, 0, 4/11), (0, 1/11, 0, 8/11), (0, 0, 1/2, 1/2), (0, 0, 0, 1)]
[(1/2, 0, 1/4, 111/4), (0, 1/550, 29/100, 9861/1100), (0, 0, 1/2, 11/2), (0, 0, 0, 50)]
[(1/2, 1/286, 0, 1423/143), (0, 1/143, 0, 987/143), (0, 0, 1/2, 13/2), (0, 0, 0, 13)]
[(1/2, 0, 0, 17/2), (0, 1/374, 1/2, 2633/187), (0, 0, 1, 0), (0, 0, 0, 17)]
[(1/2, 1/374, 0, 2633/187), (0, 1/187, 0, 2087/187), (0, 0, 1/2, 17/2), (0, 0, 0, 17)]
[(1/2, 0, 1/4, 71/4), (0, 1/704, 63/128, 23479/1408), (0, 0, 1/2, 71/2), (0, 0, 0, 64)]
[(1/2, 1/682, 0, 8771/341), (0, 1/341, 0, 6971/341), (0, 0, 1/2, 31/2), (0, 0, 0, 31)]
[(1/2, 0, 0, 17/2), (0, 1/374, 1/2, 257/187), (0, 0, 1, 0), (0, 0, 0, 17)]
[(1/2, 1/1342, 0, 27988/671), (0, 1/671, 0, 15045/671), (0, 0, 1/2, 61/2), (0, 0, 0, 61)]
[(1/2, 0, 1/4, 193/4), (0, 1/902, 37/164, 32499/1804), (0, 0, 1/2, 29/2), (0, 0, 0, 82)]
[(1/2, 0, 0, 13/2), (0, 1/286, 1/2, 774/143), (0, 0, 1, 0), (0, 0, 0, 13)]
[(1/2, 0, 3/4, 53/4), (0, 1/528, 137/96, 3067/352), (0, 0, 3/2, 21/2), (0, 0, 0, 16)]
[(1/2, 0, 1/4, 39/4), (0, 1/836, 29/152, 113173/1672), (0, 0, 1/2, 39/2), (0, 0, 0, 76)]
[(1/2, 1/242, 0, 323/121), (0, 1/121, 0, 646/121), (0, 0, 1/2, 11/2), (0, 0, 0, 11)]
[(1/2, 1/682, 0, 3722/341), (0, 1/341, 0, 7444/341), (0, 0, 1/2, 31/2), (0, 0, 0, 31)]
[(1/2, 0, 0, 1/2), (0, 1/22, 1/2, 4/11), (0, 0, 1, 0), (0, 0, 0, 1)]
[(1/2, 0, 3/4, 75/4), (0, 1/858, 205/156, 11361/572), (0, 0, 3/2, 23/2), (0, 0, 0, 26)]
[(1/2, 0, 1/4, 89/4), (0, 1/616, 9/112, 8079/1232), (0, 0, 1/2, 89/2), (0, 0, 0, 56)]
[(1/2, 0, 1/4, 137/4), (0, 1/484, 19/88, 2117/968), (0, 0, 1/2, 49/2), (0, 0, 0, 44)]
[(1/2, 0, 1, 11/2), (0, 1/484, 1/4, 323/242), (0, 0, 2, 0), (0, 0, 0, 11)]
[(1/2, 0, 1/4, 103/4), (0, 1/352, 9/64, 10609/704), (0, 0, 1/2, 39/2), (0, 0, 0, 32)]
