[(1/2, 0, 0, 17/2), (0, 1/646, 1/2, 2373/323), (0, 0, 1, 0), (0, 0, 0, 17)]
[(1/2, 0, 0, 17/2), (0, 1/646, 1/2, 2829/323), (0, 0, 1, 0), (0, 0, 0, 17)]
[(1/2, 0, 1/4, 5/4), (0, 1/1216, 13/128, 139927/2432), (0, 0, 1/2, 5/2), (0, 0, 0, 64)]
[(1/2, 1/1558, 0, 5489/779), (0, 1/779, 0, 10978/779), (0, 0, 1/2, 41/2), (0, 0, 0, 41)]
[(1/2, 1/38, 0, 17/19), (0, 1/19, 0, 15/19), (0, 0, 1/2, 1/2), (0, 0, 0, 1)]
[(1/2, 1/646, 0, 2829/323), (0, 1/323, 0, 167/323), (0, 0, 1/2, 17/2), (0, 0, 0, 17)]
[(1/2, 0, 1, 11/2), (0, 1/1140, 41/60, 3209/570), (0, 0, 2, 11), (0, 0, 0, 15)]
[(1/2, 1/646, 0, 2373/323), (0, 1/323, 0, 4746/323), (0, 0, 1/2, 17/2), (0, 0, 0, 17)]
[(1/2, 1/722, 0, 6287/361), (0, 1/361, 0, 5715/361), (0, 0, 1/2, 19/2), (0, 0, 0, 19)]
[(1/2, 1/1558, 0, 7959/779), (0, 1/779, 0, 15918/779), (0, 0, 1/2, 41/2), (0, 0, 0, 41)]
[(1/2, 1/2774, 0, 40373/1387), (0, 1/1387, 0, 80746/1387), (0, 0, 1/2, 73/2), (0, 0, 0, 73)]
[(1/2, 1/2014, 0, 27149/1007), (0, 1/1007, 0, 927/1007), (0, 0, 1/2, 53/2), (0, 0, 0, 53)]
[(1/2, 1/874, 0, 5356/437), (0, 1/437, 0, 661/437), (0, 0, 1/2, 23/2), (0, 0, 0, 23)]
[(1/2, 1/874, 0, 2050/437), (0, 1/437, 0, 4100/437), (0, 0, 1/2, 23/2), (0, 0, 0, 23)]
[(1/2, 1/2622, 31/69, 77708/1311), (0, 1/1311, 55/138, 152201/2622), (0, 0, 1/2, 121/2), (0, 0, 0, 69)]
[(1/2, 0, 0, 1/2), (0, 1/38, 1/2, 17/19), (0, 0, 1, 0), (0, 0, 0, 1)]
[(1/2, 0, 1, 19/2), (0, 1/1368, 103/72, 7655/684), (0, 0, 2, 1), (0, 0, 0, 18)]
[(1/2, 0, 0, 23/2), (0, 1/874, 1/2, 2050/437), (0, 0, 1, 0), (0, 0, 0, 23)]
[(1/2, 0, 0, 37/2), (0, 1/1406, 1/2, 25857/703), (0, 0, 1, 0), (0, 0, 0, 37)]
[(1/2, 1/1406, 0, 25857/703), (0, 1/703, 0, 25703/703), (0, 0, 1/2, 37/2), (0, 0, 0, 37)]
[(1/2, 0, 1/4, 107/4), (0, 1/836, 27/88, 39455/1672), (0, 0, 1/2, 19/2), (0, 0, 0, 44)]
[(1/2, 1/1406, 0, 20689/703), (0, 1/703, 0, 15367/703), (0, 0, 1/2, 37/2), (0, 0, 0, 37)]
[(1/2, 0, 1/4, 59/4), (0, 1/418, 1/44, 3165/836), (0, 0, 1/2, 15/2), (0, 0, 0, 22)]
[(1/2, 1/1254, 17/66, 1687/1254), (0, 1/627, 1/66, 21557/1254), (0, 0, 1/2, 37/2), (0, 0, 0, 33)]
[(1/2, 0, 1/4, 13/4), (0, 1/722, 9/76, 4419/1444), (0, 0, 1/2, 13/2), (0, 0, 0, 38)]
[(1/2, 0, 1, 9/2), (0, 1/380, 9/20, 359/190), (0, 0, 2, 4), (0, 0, 0, 5)]
[(1/2, 0, 1/4, 139/4), (0, 1/722, 29/76, 49905/1444), (0, 0, 1/2, 63/2), (0, 0, 0, 38)]
[(1/2, 0, 0, 1/2), (0, 1/1102, 119/58, 15/19), (0, 0, 29, 0), (0, 0, 0, 1)]
[(1/2, 0, 0, 9/2), (0, 1/342, 1/18, 853/171), (0, 0, 1, 7), (0, 0, 0, 9)]
[(1/2, 0, 1/4, 59/4), (0, 1/1178, 5/124, 99305/2356), (0, 0, 1/2, 59/2), (0, 0, 0, 62)]
[(1/2, 0, 1/4, 267/4), (0, 1/1558, 23/164, 89539/3116), (0, 0, 1/2, 103/2), (0, 0, 0, 82)]
[(1/2, 1/2242, 9/118, 112913/2242), (0, 1/1121, 9/59, 46774/1121), (0, 0, 1/2, 37/2), (0, 0, 0, 59)]
[(1/2, 0, 11/4, 9/4), (0, 1/836, 217/88, 191/152), (0, 0, 11/2, 1/2), (0, 0, 0, 4)]
[(1/2, 1/1026, 7/27, 11227/513), (0, 1/513, 1/54, 5407/1026), (0, 0, 1/2, 23/2), (0, 0, 0, 27)]
[(1/2, 1/1026, 13/54, 10655/1026), (0, 1/513, 13/27, 10655/513), (0, 0, 1/2, 31/2), (0, 0, 0, 27)]
[(1/2, 0, 1/4, 107/4), (0, 1/912, 17/96, 11981/1824), (0, 0, 1/2, 11/2), (0, 0, 0, 48)]
[(1/2, 1/2014, 5/106, 91291/2014), (0, 1/1007, 5/53, 37920/1007), (0, 0, 1/2, 21/2), (0, 0, 0, 53)]
[(1/2, 0, 1/4, 37/4), (0, 1/570, 23/60, 2101/1140), (0, 0, 1/2, 37/2), (0, 0, 0, 30)]
[(1/2, 1/1102, 11/29, 14229/551), (0, 1/551, 15/58, 6775/1102), (0, 0, 1/2, 33/2), (0, 0, 0, 29)]
[(1/2, 0, 1/4, 27/4), (0, 1/1178, 51/124, 30943/2356), (0, 0, 1/2, 27/2), (0, 0, 0, 62)]
[(1/2, 0, 1, 1/2), (0, 1/608, 7/32, 2297/304), (0, 0, 2, 1), (0, 0, 0, 8)]
[(1/2, 0, 1/4, 43/4), (0, 1/684, 11/72, 44623/1368), (0, 0, 1/2, 43/2), (0, 0, 0, 36)]
[(1/2, 1/1330, 8/35, 263/95), (0, 1/665, 16/35, 51/95), (0, 0, 7/2, 9/2), (0, 0, 0, 5)]
[(1/2, 1/874, 3/46, 6019/874), (0, 1/437, 3/23, 6019/437), (0, 0, 1/2, 7/2), (0, 0, 0, 23)]
[(1/2, 0, 7/4, 3/4), (0, 1/266, 81/28, 45/76), (0, 0, 7/2, 3/2), (0, 0, 0, 2)]
[(1/2, 0, 1/4, 5/4), (0, 1/304, 3/32, 5977/608), (0, 0, 1/2, 5/2), (0, 0, 0, 16)]
[(1/2, 1/950, 19/50, 7273/950), (0, 1/475, 13/50, 15971/950), (0, 0, 1/2, 47/2), (0, 0, 0, 25)]
[(1/2, 1/1102, 13/58, 16925/1102), (0, 1/551, 13/29, 946/551), (0, 0, 1/2, 17/2), (0, 0, 0, 29)]
[(1/2, 0, 7/4, 5/4), (0, 1/266, 81/28, 83/76), (0, 0, 7/2, 1/2), (0, 0, 0, 2)]
[(1/2, 0, 1/4, 43/4), (0, 1/1216, 15/128, 51539/2432), (0, 0, 1/2, 43/2), (0, 0, 0, 64)]
[(1/2, 0, 0, 1/2), (0, 1/418, 73/22, 5/19), (0, 0, 11, 0), (0, 0, 0, 1)]
[(1/2, 0, 1, 3/2), (0, 1/988, 49/52, 3589/494), (0, 0, 2, 3), (0, 0, 0, 13)]
[(1/2, 0, 1/4, 51/4), (0, 1/494, 23/52, 25243/988), (0, 0, 1/2, 51/2), (0, 0, 0, 26)]
