[(1/2, 1/6, 0, 1/3), (0, 1/3, 0, 2/3), (0, 0, 1/2, 1/2), (0, 0, 0, 1)]
[(1/2, 0, 0, 17/2), (0, 1/102, 1/2, 79/51), (0, 0, 1, 0), (0, 0, 0, 17)]
[(1/2, 0, 1/4, 3/4), (0, 1/258, 37/172, 35305/516), (0, 0, 1/2, 3/2), (0, 0, 0, 86)]
[(1/2, 1/150, 7/25, 1618/75), (0, 1/75, 3/50, 2647/150), (0, 0, 1/2, 1/2), (0, 0, 0, 25)]
[(1/2, 0, 0, 27/2), (0, 1/162, 1/2, 1999/81), (0, 0, 1, 0), (0, 0, 0, 27)]
[(1/2, 1/150, 0, 1111/75), (0, 1/75, 0, 347/75), (0, 0, 1/2, 25/2), (0, 0, 0, 25)]
[(1/2, 1/450, 0, 3889/225), (0, 1/225, 0, 7778/225), (0, 0, 1/2, 75/2), (0, 0, 0, 75)]
[(1/2, 0, 1/4, 99/4), (0, 1/150, 47/100, 13747/300), (0, 0, 1/2, 99/2), (0, 0, 0, 50)]
[(1/2, 1/306, 23/102, 11753/306), (0, 1/153, 23/51, 3950/153), (0, 0, 1/2, 101/2), (0, 0, 0, 51)]
[(1/2, 1/114, 3/38, 155/114), (0, 1/57, 3/19, 155/57), (0, 0, 1/2, 37/2), (0, 0, 0, 19)]
[(1/2, 1/102, 11/34, 1439/102), (0, 1/51, 5/34, 1195/102), (0, 0, 1/2, 33/2), (0, 0, 0, 17)]
[(1/2, 1/342, 0, 8344/171), (0, 1/171, 0, 6941/171), (0, 0, 1/2, 57/2), (0, 0, 0, 57)]
[(1/2, 1/186, 0, 2863/93), (0, 1/93, 0, 2843/93), (0, 0, 1/2, 31/2), (0, 0, 0, 31)]
[(1/2, 1/30, 0, 61/15), (0, 1/15, 0, 47/15), (0, 0, 1/2, 5/2), (0, 0, 0, 5)]
[(1/2, 0, 1/4, 67/4), (0, 1/102, 5/68, 2929/204), (0, 0, 1/2, 67/2), (0, 0, 0, 34)]
[(1/2, 1/498, 69/166, 7373/498), (0, 1/249, 55/166, 14995/498), (0, 0, 1/2, 165/2), (0, 0, 0, 83)]
[(1/2, 1/18, 1/3, 22/9), (0, 1/9, 1/6, 43/18), (0, 0, 1/2, 5/2), (0, 0, 0, 3)]
[(1/2, 1/354, 0, 2857/177), (0, 1/177, 0, 5714/177), (0, 0, 1/2, 59/2), (0, 0, 0, 59)]
[(1/2, 0, 0, 5/2), (0, 1/30, 1/2, 64/15), (0, 0, 1, 0), (0, 0, 0, 5)]
[(1/2, 1/102, 3/17, 700/51), (0, 1/51, 6/17, 533/51), (0, 0, 1/2, 33/2), (0, 0, 0, 17)]
