[(1/2, 1/6, 0, 1/3), (0, 1/3, 0, 2/3), (0, 0, 1/2, 1/2), (0, 0, 0, 1)]
[(1/2, 1/234, 0, 4129/117), (0, 1/117, 0, 3695/117), (0, 0, 1/2, 39/2), (0, 0, 0, 39)]
[(1/2, 1/78, 0, 265/39), (0, 1/39, 0, 23/39), (0, 0, 1/2, 13/2), (0, 0, 0, 13)]
[(1/2, 1/414, 0, 11365/207), (0, 1/207, 0, 8447/207), (0, 0, 1/2, 69/2), (0, 0, 0, 69)]
[(1/2, 1/114, 9/19, 769/57), (0, 1/57, 17/38, 967/114), (0, 0, 1/2, 37/2), (0, 0, 0, 19)]
[(1/2, 1/306, 49/102, 7499/306), (0, 1/153, 47/102, 14845/306), (0, 0, 1/2, 1/2), (0, 0, 0, 51)]
[(1/2, 0, 1/4, 125/4), (0, 1/186, 7/124, 5821/372), (0, 0, 1/2, 1/2), (0, 0, 0, 62)]
[(1/2, 0, 1/4, 125/4), (0, 1/186, 55/124, 2053/372), (0, 0, 1/2, 1/2), (0, 0, 0, 62)]
[(1/2, 1/354, 0, 6901/177), (0, 1/177, 0, 3359/177), (0, 0, 1/2, 59/2), (0, 0, 0, 59)]
[(1/2, 1/102, 1/17, 373/51), (0, 1/51, 2/17, 746/51), (0, 0, 1/2, 1/2), (0, 0, 0, 17)]
[(1/2, 1/342, 1/114, 14591/342), (0, 1/171, 1/57, 4844/171), (0, 0, 1/2, 1/2), (0, 0, 0, 57)]
[(1/2, 1/426, 27/71, 14386/213), (0, 1/213, 37/142, 27085/426), (0, 0, 1/2, 1/2), (0, 0, 0, 71)]
[(1/2, 0, 1/4, 53/4), (0, 1/78, 3/52, 3481/156), (0, 0, 1/2, 1/2), (0, 0, 0, 26)]
[(1/2, 1/162, 25/54, 3971/162), (0, 1/81, 23/54, 3487/162), (0, 0, 1/2, 1/2), (0, 0, 0, 27)]
[(1/2, 1/306, 0, 5884/153), (0, 1/153, 0, 3965/153), (0, 0, 1/2, 51/2), (0, 0, 0, 51)]
[(1/2, 1/138, 0, 802/69), (0, 1/69, 0, 17/69), (0, 0, 1/2, 23/2), (0, 0, 0, 23)]
[(1/2, 0, 1/4, 35/4), (0, 1/54, 13/36, 1921/108), (0, 0, 1/2, 35/2), (0, 0, 0, 18)]
[(1/2, 0, 1/4, 11/4), (0, 1/18, 1/12, 13/36), (0, 0, 1/2, 11/2), (0, 0, 0, 6)]
[(1/2, 1/222, 2/37, 742/111), (0, 1/111, 4/37, 1484/111), (0, 0, 1/2, 73/2), (0, 0, 0, 37)]
[(1/2, 1/18, 0, 25/9), (0, 1/9, 0, 23/9), (0, 0, 1/2, 3/2), (0, 0, 0, 3)]
[(1/2, 0, 1/4, 69/4), (0, 1/102, 21/68, 1543/204), (0, 0, 1/2, 1/2), (0, 0, 0, 34)]
[(1/2, 1/342, 0, 5452/171), (0, 1/171, 0, 1157/171), (0, 0, 1/2, 57/2), (0, 0, 0, 57)]
[(1/2, 0, 1/4, 77/4), (0, 1/240, 61/160, 16207/480), (0, 0, 1/2, 77/2), (0, 0, 0, 80)]
[(1/2, 1/282, 17/94, 641/282), (0, 1/141, 17/47, 641/141), (0, 0, 1/2, 1/2), (0, 0, 0, 47)]
[(1/2, 1/114, 0, 37/57), (0, 1/57, 0, 74/57), (0, 0, 1/2, 19/2), (0, 0, 0, 19)]
[(1/2, 0, 1/4, 75/4), (0, 1/114, 21/76, 8305/228), (0, 0, 1/2, 75/2), (0, 0, 0, 38)]
