[(1/2, 0, 1, 13/2), (0, 1/1368, 95/72, 5365/684), (0, 0, 2, 13), (0, 0, 0, 18)]
[(1/2, 0, 0, 17/2), (0, 1/646, 1/2, 4491/323), (0, 0, 1, 0), (0, 0, 0, 17)]
[(1/2, 0, 0, 23/2), (0, 1/874, 1/2, 4320/437), (0, 0, 1, 0), (0, 0, 0, 23)]
[(1/2, 1/1786, 0, 39413/893), (0, 1/893, 0, 36855/893), (0, 0, 1/2, 47/2), (0, 0, 0, 47)]
[(1/2, 1/722, 0, 2458/361), (0, 1/361, 0, 4916/361), (0, 0, 1/2, 19/2), (0, 0, 0, 19)]
[(1/2, 1/874, 0, 9963/437), (0, 1/437, 0, 9875/437), (0, 0, 1/2, 23/2), (0, 0, 0, 23)]
[(1/2, 1/874, 0, 4320/437), (0, 1/437, 0, 8640/437), (0, 0, 1/2, 23/2), (0, 0, 0, 23)]
[(1/2, 1/646, 0, 4491/323), (0, 1/323, 0, 3491/323), (0, 0, 1/2, 17/2), (0, 0, 0, 17)]
[(1/2, 0, 1/4, 155/4), (0, 1/1292, 43/136, 102191/2584), (0, 0, 1/2, 19/2), (0, 0, 0, 68)]
[(1/2, 0, 1/4, 85/4), (0, 1/684, 5/72, 34399/1368), (0, 0, 1/2, 13/2), (0, 0, 0, 36)]
[(1/2, 0, 0, 19/2), (0, 1/722, 5/38, 5821/361), (0, 0, 1, 1), (0, 0, 0, 19)]
[(1/2, 0, 1/4, 53/4), (0, 1/684, 11/72, 22961/1368), (0, 0, 1/2, 53/2), (0, 0, 0, 36)]
[(1/2, 1/646, 0, 4757/323), (0, 1/323, 0, 4023/323), (0, 0, 1/2, 17/2), (0, 0, 0, 17)]
[(1/2, 0, 1/4, 85/4), (0, 1/1368, 41/144, 92539/2736), (0, 0, 1/2, 85/2), (0, 0, 0, 72)]
[(1/2, 0, 0, 1/2), (0, 1/38, 1/2, 7/19), (0, 0, 1, 0), (0, 0, 0, 1)]
[(1/2, 1/38, 0, 7/19), (0, 1/19, 0, 14/19), (0, 0, 1/2, 1/2), (0, 0, 0, 1)]
[(1/2, 0, 1/4, 19/4), (0, 1/646, 9/68, 2061/1292), (0, 0, 1/2, 19/2), (0, 0, 0, 34)]
[(1/2, 1/2546, 55/134, 14017/2546), (0, 1/1273, 43/134, 87865/2546), (0, 0, 1/2, 87/2), (0, 0, 0, 67)]
[(1/2, 0, 0, 17/2), (0, 1/646, 1/2, 4757/323), (0, 0, 1, 0), (0, 0, 0, 17)]
[(1/2, 0, 1, 1/2), (0, 1/684, 65/36, 1033/342), (0, 0, 2, 1), (0, 0, 0, 9)]
[(1/2, 0, 1/4, 5/4), (0, 1/114, 1/12, 427/228), (0, 0, 1/2, 5/2), (0, 0, 0, 6)]
[(1/2, 1/1558, 366/41, 15/19), (0, 1/779, 732/41, 11/19), (0, 0, 41/2, 1/2), (0, 0, 0, 1)]
[(1/2, 0, 1/4, 19/4), (0, 1/418, 17/44, 541/836), (0, 0, 1/2, 19/2), (0, 0, 0, 22)]
[(1/2, 1/646, 3/17, 5384/323), (0, 1/323, 6/17, 5277/323), (0, 0, 1/2, 21/2), (0, 0, 0, 17)]
[(1/2, 0, 1, 11/2), (0, 1/456, 1/24, 805/228), (0, 0, 2, 5), (0, 0, 0, 6)]
[(1/2, 1/646, 11/34, 3529/646), (0, 1/323, 5/34, 275/646), (0, 0, 1/2, 21/2), (0, 0, 0, 17)]
[(1/2, 0, 1, 5/2), (0, 1/228, 17/12, 311/114), (0, 0, 2, 2), (0, 0, 0, 3)]
[(1/2, 1/1178, 25/62, 18919/1178), (0, 1/589, 19/62, 31359/1178), (0, 0, 1/2, 11/2), (0, 0, 0, 31)]
[(1/2, 0, 1/4, 123/4), (0, 1/608, 27/64, 25887/1216), (0, 0, 1/2, 59/2), (0, 0, 0, 32)]
[(1/2, 1/2166, 23/57, 40135/1083), (0, 1/1083, 35/114, 22999/2166), (0, 0, 1/2, 13/2), (0, 0, 0, 57)]
[(1/2, 1/1406, 15/37, 2496/703), (0, 1/703, 23/74, 28965/1406), (0, 0, 1/2, 47/2), (0, 0, 0, 37)]
[(1/2, 1/2014, 3/106, 44303/2014), (0, 1/1007, 3/53, 44303/1007), (0, 0, 1/2, 43/2), (0, 0, 0, 53)]
[(1/2, 0, 1/4, 59/4), (0, 1/1178, 47/124, 8179/2356), (0, 0, 1/2, 59/2), (0, 0, 0, 62)]
[(1/2, 0, 1/4, 107/4), (0, 1/912, 25/96, 74869/1824), (0, 0, 1/2, 11/2), (0, 0, 0, 48)]
[(1/2, 1/1026, 19/54, 27089/1026), (0, 1/513, 11/54, 25963/1026), (0, 0, 1/2, 1/2), (0, 0, 0, 27)]
[(1/2, 1/2318, 7/122, 16715/2318), (0, 1/1159, 7/61, 16715/1159), (0, 0, 1/2, 115/2), (0, 0, 0, 61)]
[(1/2, 1/1482, 25/78, 35905/1482), (0, 1/741, 11/78, 14753/1482), (0, 0, 1/2, 77/2), (0, 0, 0, 39)]
[(1/2, 0, 1/4, 61/4), (0, 1/494, 1/52, 21707/988), (0, 0, 1/2, 9/2), (0, 0, 0, 26)]
[(1/2, 0, 0, 5/2), (0, 1/190, 3/10, 102/95), (0, 0, 1, 3), (0, 0, 0, 5)]
[(1/2, 1/1178, 11/62, 17209/1178), (0, 1/589, 11/31, 17209/589), (0, 0, 1/2, 5/2), (0, 0, 0, 31)]
[(1/2, 0, 1/4, 43/4), (0, 1/342, 17/36, 2821/684), (0, 0, 1/2, 7/2), (0, 0, 0, 18)]
[(1/2, 0, 1/4, 11/4), (0, 1/228, 5/24, 161/456), (0, 0, 1/2, 11/2), (0, 0, 0, 12)]
[(1/2, 0, 1, 1/2), (0, 1/228, 7/12, 83/114), (0, 0, 2, 1), (0, 0, 0, 3)]
[(1/2, 0, 1/4, 171/4), (0, 1/1216, 23/128, 149691/2432), (0, 0, 1/2, 43/2), (0, 0, 0, 64)]
[(1/2, 1/266, 1/14, 869/266), (0, 1/133, 1/7, 869/133), (0, 0, 1/2, 13/2), (0, 0, 0, 7)]
[(1/2, 0, 1/4, 11/4), (0, 1/912, 17/96, 2669/1824), (0, 0, 1/2, 11/2), (0, 0, 0, 48)]
[(1/2, 0, 1/4, 51/4), (0, 1/418, 21/44, 14297/836), (0, 0, 1/2, 7/2), (0, 0, 0, 22)]
[(1/2, 0, 1/4, 37/4), (0, 1/380, 19/40, 1833/760), (0, 0, 1/2, 37/2), (0, 0, 0, 20)]
[(1/2, 1/1026, 17/54, 14093/1026), (0, 1/513, 7/54, 19465/1026), (0, 0, 1/2, 17/2), (0, 0, 0, 27)]
[(1/2, 0, 0, 21/2), (0, 1/798, 29/42, 1375/399), (0, 0, 1, 8), (0, 0, 0, 21)]
[(1/2, 1/722, 3/19, 2420/361), (0, 1/361, 6/19, 4840/361), (0, 0, 1/2, 5/2), (0, 0, 0, 19)]
[(1/2, 0, 1/4, 107/4), (0, 1/684, 11/72, 38351/1368), (0, 0, 1/2, 35/2), (0, 0, 0, 36)]
[(1/2, 1/1406, 11/74, 20287/1406), (0, 1/703, 11/37, 20287/703), (0, 0, 1/2, 73/2), (0, 0, 0, 37)]
[(1/2, 1/1938, 10/51, 31034/969), (0, 1/969, 20/51, 12649/969), (0, 0, 1/2, 31/2), (0, 0, 0, 51)]
[(1/2, 1/646, 7/17, 4700/323), (0, 1/323, 11/34, 8787/646), (0, 0, 1/2, 31/2), (0, 0, 0, 17)]
[(1/2, 0, 1/4, 147/4), (0, 1/950, 41/100, 46597/1900), (0, 0, 1/2, 47/2), (0, 0, 0, 50)]
[(1/2, 0, 1, 29/2), (0, 1/1140, 97/60, 3427/570), (0, 0, 2, 14), (0, 0, 0, 15)]
[(1/2, 0, 1, 5/2), (0, 1/912, 31/48, 1261/456), (0, 0, 2, 5), (0, 0, 0, 12)]
[(1/2, 1/1254, 167/33, 11/57), (0, 1/627, 305/66, 101/114), (0, 0, 11/2, 5/2), (0, 0, 0, 3)]
[(1/2, 1/1710, 37/90, 73601/1710), (0, 1/855, 29/90, 7837/1710), (0, 0, 1/2, 73/2), (0, 0, 0, 45)]
[(1/2, 0, 1, 23/2), (0, 1/912, 49/48, 1945/456), (0, 0, 2, 11), (0, 0, 0, 12)]
[(1/2, 1/1634, 17/43, 6011/817), (0, 1/817, 25/86, 6887/1634), (0, 0, 1/2, 21/2), (0, 0, 0, 43)]
[(1/2, 0, 1/4, 11/4), (0, 1/304, 15/32, 4531/608), (0, 0, 1/2, 11/2), (0, 0, 0, 16)]
[(1/2, 1/2242, 7/59, 40059/1121), (0, 1/1121, 14/59, 13979/1121), (0, 0, 1/2, 33/2), (0, 0, 0, 59)]
[(1/2, 1/1786, 2/47, 2838/893), (0, 1/893, 4/47, 5676/893), (0, 0, 1/2, 73/2), (0, 0, 0, 47)]
[(1/2, 1/2166, 25/57, 27215/1083), (0, 1/1083, 43/114, 36299/2166), (0, 0, 1/2, 67/2), (0, 0, 0, 57)]
[(1/2, 0, 1/4, 101/4), (0, 1/722, 3/76, 41049/1444), (0, 0, 1/2, 25/2), (0, 0, 0, 38)]
[(1/2, 1/1482, 37/78, 12041/1482), (0, 1/741, 35/78, 1111/1482), (0, 0, 1/2, 31/2), (0, 0, 0, 39)]
[(1/2, 0, 1/4, 5/4), (0, 1/228, 11/24, 1073/456), (0, 0, 1/2, 5/2), (0, 0, 0, 12)]
[(1/2, 0, 1/4, 27/4), (0, 1/190, 1/20, 3277/380), (0, 0, 1/2, 7/2), (0, 0, 0, 10)]
[(1/2, 0, 1/4, 133/4), (0, 1/912, 37/96, 61151/1824), (0, 0, 1/2, 37/2), (0, 0, 0, 48)]
[(1/2, 0, 7/4, 29/4), (0, 1/1330, 221/140, 1391/380), (0, 0, 7/2, 9/2), (0, 0, 0, 10)]
[(1/2, 0, 1/4, 139/4), (0, 1/1064, 9/112, 90981/2128), (0, 0, 1/2, 27/2), (0, 0, 0, 56)]
[(1/2, 0, 0, 15/2), (0, 1/570, 13/30, 2762/285), (0, 0, 1, 8), (0, 0, 0, 15)]
[(1/2, 0, 1/4, 181/4), (0, 1/1216, 17/128, 104851/2432), (0, 0, 1/2, 53/2), (0, 0, 0, 64)]
[(1/2, 0, 1/4, 29/4), (0, 1/418, 1/44, 12587/836), (0, 0, 1/2, 29/2), (0, 0, 0, 22)]
[(1/2, 1/2318, 14/61, 66355/1159), (0, 1/1159, 28/61, 62011/1159), (0, 0, 1/2, 109/2), (0, 0, 0, 61)]
[(1/2, 0, 1/4, 155/4), (0, 1/912, 19/96, 33943/1824), (0, 0, 1/2, 59/2), (0, 0, 0, 48)]
[(1/2, 0, 1/4, 197/4), (0, 1/1026, 29/108, 78023/2052), (0, 0, 1/2, 89/2), (0, 0, 0, 54)]
[(1/2, 1/3154, 17/166, 172477/3154), (0, 1/1577, 17/83, 41586/1577), (0, 0, 1/2, 105/2), (0, 0, 0, 83)]
[(1/2, 0, 13/4, 7/4), (0, 1/494, 75/52, 27/76), (0, 0, 13/2, 3/2), (0, 0, 0, 2)]
[(1/2, 0, 1/4, 67/4), (0, 1/570, 11/60, 19807/1140), (0, 0, 1/2, 7/2), (0, 0, 0, 30)]
[(1/2, 1/2394, 11/63, 18532/1197), (0, 1/1197, 22/63, 37064/1197), (0, 0, 1/2, 43/2), (0, 0, 0, 63)]
[(1/2, 0, 1/4, 11/4), (0, 1/152, 7/16, 427/304), (0, 0, 1/2, 11/2), (0, 0, 0, 8)]
[(1/2, 1/1102, 23/58, 3871/1102), (0, 1/551, 17/58, 30333/1102), (0, 0, 1/2, 17/2), (0, 0, 0, 29)]
[(1/2, 1/1254, 14/33, 6125/627), (0, 1/627, 23/66, 6317/1254), (0, 0, 1/2, 29/2), (0, 0, 0, 33)]
[(1/2, 0, 1/4, 43/4), (0, 1/760, 31/80, 54083/1520), (0, 0, 1/2, 43/2), (0, 0, 0, 40)]
[(1/2, 0, 1/4, 67/4), (0, 1/570, 19/60, 25583/1140), (0, 0, 1/2, 7/2), (0, 0, 0, 30)]
[(1/2, 1/1102, 7/58, 13143/1102), (0, 1/551, 7/29, 13143/551), (0, 0, 1/2, 23/2), (0, 0, 0, 29)]
[(1/2, 0, 1/4, 83/4), (0, 1/798, 37/84, 30865/1596), (0, 0, 1/2, 83/2), (0, 0, 0, 42)]
[(1/2, 0, 11/4, 9/4), (0, 1/836, 63/88, 329/152), (0, 0, 11/2, 1/2), (0, 0, 0, 4)]
[(1/2, 0, 1/4, 53/4), (0, 1/494, 11/52, 12625/988), (0, 0, 1/2, 1/2), (0, 0, 0, 26)]
[(1/2, 1/1026, 13/54, 2009/1026), (0, 1/513, 13/27, 2009/513), (0, 0, 1/2, 43/2), (0, 0, 0, 27)]
