[(1/2, 1/6, 0, 1/3), (0, 1/3, 0, 2/3), (0, 0, 1/2, 1/2), (0, 0, 0, 1)]
[(1/2, 1/222, 10/37, 2395/111), (0, 1/111, 3/74, 1255/222), (0, 0, 1/2, 1/2), (0, 0, 0, 37)]
[(1/2, 1/114, 17/38, 815/114), (0, 1/57, 15/38, 1687/114), (0, 0, 1/2, 37/2), (0, 0, 0, 19)]
[(1/2, 1/426, 0, 4216/213), (0, 1/213, 0, 8432/213), (0, 0, 1/2, 71/2), (0, 0, 0, 71)]
[(1/2, 1/42, 5/14, 131/42), (0, 1/21, 3/14, 283/42), (0, 0, 1/2, 13/2), (0, 0, 0, 7)]
[(1/2, 1/246, 27/82, 4319/246), (0, 1/123, 13/82, 8515/246), (0, 0, 1/2, 1/2), (0, 0, 0, 41)]
[(1/2, 1/42, 5/14, 65/42), (0, 1/21, 3/14, 109/42), (0, 0, 1/2, 1/2), (0, 0, 0, 7)]
[(1/2, 0, 1, 11/2), (0, 1/228, 109/76, 2125/114), (0, 0, 2, 11), (0, 0, 0, 19)]
[(1/2, 0, 1/4, 27/4), (0, 1/42, 3/28, 871/84), (0, 0, 1/2, 27/2), (0, 0, 0, 14)]
[(1/2, 1/18, 1/6, 23/18), (0, 1/9, 1/3, 23/9), (0, 0, 1/2, 1/2), (0, 0, 0, 3)]
[(1/2, 1/354, 16/59, 2671/177), (0, 1/177, 5/118, 10861/354), (0, 0, 1/2, 117/2), (0, 0, 0, 59)]
[(1/2, 1/366, 6/61, 11047/183), (0, 1/183, 12/61, 10931/183), (0, 0, 1/2, 121/2), (0, 0, 0, 61)]
[(1/2, 0, 1/4, 75/4), (0, 1/114, 15/76, 6019/228), (0, 0, 1/2, 75/2), (0, 0, 0, 38)]
[(1/2, 0, 1/4, 147/4), (0, 1/222, 71/148, 25675/444), (0, 0, 1/2, 147/2), (0, 0, 0, 74)]
[(1/2, 0, 1/4, 77/4), (0, 1/114, 15/76, 5533/228), (0, 0, 1/2, 1/2), (0, 0, 0, 38)]
[(1/2, 1/294, 37/98, 11723/294), (0, 1/147, 25/98, 8893/294), (0, 0, 1/2, 1/2), (0, 0, 0, 49)]
[(1/2, 0, 1/4, 109/4), (0, 1/162, 17/108, 14779/324), (0, 0, 1/2, 1/2), (0, 0, 0, 54)]
[(1/2, 1/246, 7/41, 1264/123), (0, 1/123, 14/41, 2528/123), (0, 0, 1/2, 1/2), (0, 0, 0, 41)]
[(1/2, 1/162, 0, 346/81), (0, 1/81, 0, 692/81), (0, 0, 1/2, 27/2), (0, 0, 0, 27)]
[(1/2, 0, 1/4, 67/4), (0, 1/228, 37/152, 8761/456), (0, 0, 1/2, 67/2), (0, 0, 0, 76)]
[(1/2, 1/378, 23/126, 2921/378), (0, 1/189, 23/63, 2921/189), (0, 0, 1/2, 125/2), (0, 0, 0, 63)]
[(1/2, 0, 1/4, 13/4), (0, 1/18, 5/12, 55/36), (0, 0, 1/2, 1/2), (0, 0, 0, 6)]
[(1/2, 0, 1/4, 35/4), (0, 1/54, 1/36, 1117/108), (0, 0, 1/2, 35/2), (0, 0, 0, 18)]
[(1/2, 1/342, 1/57, 6784/171), (0, 1/171, 2/57, 3821/171), (0, 0, 1/2, 113/2), (0, 0, 0, 57)]
[(1/2, 1/426, 22/71, 3457/213), (0, 1/213, 17/142, 13615/426), (0, 0, 1/2, 1/2), (0, 0, 0, 71)]
[(1/2, 0, 1/4, 85/4), (0, 1/126, 11/84, 9145/252), (0, 0, 1/2, 1/2), (0, 0, 0, 42)]
[(1/2, 1/54, 5/18, 59/54), (0, 1/27, 1/18, 145/54), (0, 0, 1/2, 17/2), (0, 0, 0, 9)]
[(1/2, 0, 0, 21/2), (0, 1/126, 1/2, 1237/63), (0, 0, 1, 0), (0, 0, 0, 21)]
[(1/2, 1/114, 17/38, 629/114), (0, 1/57, 15/38, 1201/114), (0, 0, 1/2, 1/2), (0, 0, 0, 19)]
[(1/2, 0, 1/4, 5/4), (0, 1/6, 1/4, 19/12), (0, 0, 1/2, 1/2), (0, 0, 0, 2)]
[(1/2, 1/354, 27/118, 8405/354), (0, 1/177, 27/59, 8405/177), (0, 0, 1/2, 117/2), (0, 0, 0, 59)]
[(1/2, 0, 1/4, 27/4), (0, 1/42, 11/28, 655/84), (0, 0, 1/2, 27/2), (0, 0, 0, 14)]
[(1/2, 1/474, 25/158, 21305/474), (0, 1/237, 25/79, 2582/237), (0, 0, 1/2, 1/2), (0, 0, 0, 79)]
[(1/2, 1/366, 0, 7393/183), (0, 1/183, 0, 3623/183), (0, 0, 1/2, 61/2), (0, 0, 0, 61)]
[(1/2, 0, 1/4, 117/4), (0, 1/174, 57/116, 10267/348), (0, 0, 1/2, 1/2), (0, 0, 0, 58)]
[(1/2, 1/294, 6/49, 6217/147), (0, 1/147, 12/49, 5231/147), (0, 0, 1/2, 1/2), (0, 0, 0, 49)]
[(1/2, 1/174, 7/29, 22/87), (0, 1/87, 14/29, 44/87), (0, 0, 1/2, 1/2), (0, 0, 0, 29)]
[(1/2, 1/126, 1/21, 169/63), (0, 1/63, 2/21, 338/63), (0, 0, 1/2, 41/2), (0, 0, 0, 21)]
[(1/2, 1/378, 29/63, 7657/189), (0, 1/189, 53/126, 6625/378), (0, 0, 1/2, 1/2), (0, 0, 0, 63)]
[(1/2, 0, 1/4, 115/4), (0, 1/174, 57/116, 16645/348), (0, 0, 1/2, 115/2), (0, 0, 0, 58)]
[(1/2, 0, 1/4, 163/4), (0, 1/246, 69/164, 28441/492), (0, 0, 1/2, 163/2), (0, 0, 0, 82)]
[(1/2, 1/342, 20/57, 3742/171), (0, 1/171, 23/114, 14797/342), (0, 0, 1/2, 1/2), (0, 0, 0, 57)]
[(1/2, 1/174, 15/58, 3407/174), (0, 1/87, 1/58, 1681/174), (0, 0, 1/2, 1/2), (0, 0, 0, 29)]
[(1/2, 1/222, 0, 1867/111), (0, 1/111, 0, 3734/111), (0, 0, 1/2, 37/2), (0, 0, 0, 37)]
[(1/2, 0, 1/4, 93/4), (0, 1/222, 13/148, 7855/444), (0, 0, 1/2, 93/2), (0, 0, 0, 74)]
[(1/2, 1/126, 0, 184/63), (0, 1/63, 0, 368/63), (0, 0, 1/2, 21/2), (0, 0, 0, 21)]
[(1/2, 1/270, 13/30, 4067/270), (0, 1/135, 11/30, 7729/270), (0, 0, 1/2, 3/2), (0, 0, 0, 45)]
[(1/2, 1/414, 3/46, 9251/414), (0, 1/207, 3/23, 9251/207), (0, 0, 1/2, 81/2), (0, 0, 0, 69)]
[(1/2, 1/330, 39/110, 4817/330), (0, 1/165, 23/110, 14089/330), (0, 0, 1/2, 83/2), (0, 0, 0, 55)]
[(1/2, 0, 1/4, 99/4), (0, 1/102, 25/68, 5437/204), (0, 0, 1/2, 31/2), (0, 0, 0, 34)]
