[(1/2, 1/6, 0, 1/3), (0, 1/3, 0, 2/3), (0, 0, 1/2, 1/2), (0, 0, 0, 1)]
[(1/2, 1/402, 59/134, 1013/402), (0, 1/201, 51/134, 1825/402), (0, 0, 1/2, 1/2), (0, 0, 0, 67)]
[(1/2, 0, 0, 31/2), (0, 1/186, 1/2, 2569/93), (0, 0, 1, 0), (0, 0, 0, 31)]
[(1/2, 1/18, 1/3, 13/9), (0, 1/9, 1/6, 7/18), (0, 0, 1/2, 5/2), (0, 0, 0, 3)]
[(1/2, 1/426, 0, 1003/213), (0, 1/213, 0, 2006/213), (0, 0, 1/2, 71/2), (0, 0, 0, 71)]
[(1/2, 0, 1/4, 237/4), (0, 1/264, 5/176, 41383/528), (0, 0, 1/2, 61/2), (0, 0, 0, 88)]
[(1/2, 0, 0, 19/2), (0, 1/114, 1/2, 664/57), (0, 0, 1, 0), (0, 0, 0, 19)]
[(1/2, 1/318, 0, 5410/159), (0, 1/159, 0, 2393/159), (0, 0, 1/2, 53/2), (0, 0, 0, 53)]
[(1/2, 0, 0, 19/2), (0, 1/114, 1/2, 58/57), (0, 0, 1, 0), (0, 0, 0, 19)]
[(1/2, 1/342, 0, 1747/171), (0, 1/171, 0, 3494/171), (0, 0, 1/2, 57/2), (0, 0, 0, 57)]
[(1/2, 0, 1/4, 237/4), (0, 1/246, 19/164, 29185/492), (0, 0, 1/2, 73/2), (0, 0, 0, 82)]
[(1/2, 0, 1/4, 163/4), (0, 1/246, 59/164, 23839/492), (0, 0, 1/2, 163/2), (0, 0, 0, 82)]
[(1/2, 0, 1/4, 187/4), (0, 1/270, 41/180, 45277/540), (0, 0, 1/2, 7/2), (0, 0, 0, 90)]
[(1/2, 1/426, 9/142, 24149/426), (0, 1/213, 9/71, 9026/213), (0, 0, 1/2, 141/2), (0, 0, 0, 71)]
[(1/2, 1/186, 27/62, 2507/186), (0, 1/93, 23/62, 5107/186), (0, 0, 1/2, 61/2), (0, 0, 0, 31)]
[(1/2, 1/402, 59/134, 16943/402), (0, 1/201, 51/134, 7153/402), (0, 0, 1/2, 133/2), (0, 0, 0, 67)]
[(1/2, 1/54, 0, 100/27), (0, 1/27, 0, 200/27), (0, 0, 1/2, 9/2), (0, 0, 0, 9)]
[(1/2, 1/498, 39/83, 16639/249), (0, 1/249, 73/166, 25471/498), (0, 0, 1/2, 165/2), (0, 0, 0, 83)]
[(1/2, 1/246, 16/41, 2353/123), (0, 1/123, 23/82, 9535/246), (0, 0, 1/2, 81/2), (0, 0, 0, 41)]
[(1/2, 1/246, 9/82, 1895/246), (0, 1/123, 9/41, 1895/123), (0, 0, 1/2, 81/2), (0, 0, 0, 41)]
[(1/2, 1/474, 0, 6748/237), (0, 1/237, 0, 13496/237), (0, 0, 1/2, 79/2), (0, 0, 0, 79)]
[(1/2, 0, 0, 41/2), (0, 1/246, 1/2, 1321/123), (0, 0, 1, 0), (0, 0, 0, 41)]
[(1/2, 0, 1/4, 123/4), (0, 1/186, 23/124, 5107/372), (0, 0, 1/2, 123/2), (0, 0, 0, 62)]
[(1/2, 0, 1/4, 5/4), (0, 1/6, 1/4, 19/12), (0, 0, 1/2, 1/2), (0, 0, 0, 2)]
[(1/2, 1/486, 0, 3259/243), (0, 1/243, 0, 6518/243), (0, 0, 1/2, 81/2), (0, 0, 0, 81)]
[(1/2, 1/114, 1/38, 1937/114), (0, 1/57, 1/19, 854/57), (0, 0, 1/2, 1/2), (0, 0, 0, 19)]
[(1/2, 0, 1/4, 37/4), (0, 1/54, 11/36, 1177/108), (0, 0, 1/2, 1/2), (0, 0, 0, 18)]
[(1/2, 0, 1/4, 349/4), (0, 1/264, 9/176, 38371/528), (0, 0, 1/2, 173/2), (0, 0, 0, 88)]
[(1/2, 0, 1/4, 109/4), (0, 1/162, 11/108, 8953/324), (0, 0, 1/2, 1/2), (0, 0, 0, 54)]
[(1/2, 1/114, 9/19, 865/57), (0, 1/57, 17/38, 1237/114), (0, 0, 1/2, 1/2), (0, 0, 0, 19)]
[(1/2, 0, 1/4, 11/4), (0, 1/18, 1/12, 61/36), (0, 0, 1/2, 11/2), (0, 0, 0, 6)]
[(1/2, 1/474, 23/79, 7324/237), (0, 1/237, 13/158, 29059/474), (0, 0, 1/2, 1/2), (0, 0, 0, 79)]
[(1/2, 1/342, 0, 5473/171), (0, 1/171, 0, 1199/171), (0, 0, 1/2, 57/2), (0, 0, 0, 57)]
[(1/2, 1/318, 2/53, 8005/159), (0, 1/159, 4/53, 7583/159), (0, 0, 1/2, 105/2), (0, 0, 0, 53)]
[(1/2, 1/162, 19/54, 143/162), (0, 1/81, 11/54, 205/162), (0, 0, 1/2, 1/2), (0, 0, 0, 27)]
[(1/2, 1/186, 2/31, 622/93), (0, 1/93, 4/31, 1244/93), (0, 0, 1/2, 61/2), (0, 0, 0, 31)]
[(1/2, 0, 1/4, 77/4), (0, 1/270, 19/180, 33433/540), (0, 0, 1/2, 77/2), (0, 0, 0, 90)]
[(1/2, 1/402, 22/67, 9214/201), (0, 1/201, 21/134, 17359/402), (0, 0, 1/2, 97/2), (0, 0, 0, 67)]
[(1/2, 0, 1/4, 243/4), (0, 1/240, 21/160, 28393/480), (0, 0, 1/2, 83/2), (0, 0, 0, 80)]
[(1/2, 1/390, 21/65, 12412/195), (0, 1/195, 19/130, 22933/390), (0, 0, 1/2, 7/2), (0, 0, 0, 65)]
[(1/2, 0, 0, 39/2), (0, 1/234, 19/26, 4258/117), (0, 0, 1, 21), (0, 0, 0, 39)]
[(1/2, 0, 1, 15/2), (0, 1/96, 53/32, 229/48), (0, 0, 2, 7), (0, 0, 0, 8)]
[(1/2, 1/342, 1/114, 14669/342), (0, 1/171, 1/57, 4922/171), (0, 0, 1/2, 37/2), (0, 0, 0, 57)]
[(1/2, 1/306, 47/102, 485/306), (0, 1/153, 43/102, 7549/306), (0, 0, 1/2, 59/2), (0, 0, 0, 51)]
[(1/2, 1/270, 13/90, 7631/270), (0, 1/135, 13/45, 1556/135), (0, 0, 1/2, 67/2), (0, 0, 0, 45)]
[(1/2, 0, 1/4, 109/4), (0, 1/204, 55/136, 18493/408), (0, 0, 1/2, 109/2), (0, 0, 0, 68)]
[(1/2, 1/114, 7/19, 613/57), (0, 1/57, 9/38, 799/114), (0, 0, 1/2, 29/2), (0, 0, 0, 19)]
[(1/2, 1/294, 41/98, 14381/294), (0, 1/147, 33/98, 9505/294), (0, 0, 1/2, 33/2), (0, 0, 0, 49)]
[(1/2, 0, 1/4, 173/4), (0, 1/216, 67/144, 8017/432), (0, 0, 1/2, 29/2), (0, 0, 0, 72)]
[(1/2, 1/522, 2/29, 20053/261), (0, 1/261, 4/29, 17399/261), (0, 0, 1/2, 99/2), (0, 0, 0, 87)]
[(1/2, 1/462, 1/154, 19961/462), (0, 1/231, 1/77, 2174/231), (0, 0, 1/2, 47/2), (0, 0, 0, 77)]
[(1/2, 0, 1, 11/2), (0, 1/180, 67/60, 913/90), (0, 0, 2, 11), (0, 0, 0, 15)]
[(1/2, 1/510, 513/170, 7/30), (0, 1/255, 513/85, 7/15), (0, 0, 17/2, 1/2), (0, 0, 0, 5)]
[(1/2, 0, 5/4, 63/4), (0, 1/270, 23/20, 1295/108), (0, 0, 5/2, 27/2), (0, 0, 0, 18)]
[(1/2, 0, 1/4, 77/4), (0, 1/192, 21/128, 8983/384), (0, 0, 1/2, 77/2), (0, 0, 0, 64)]
[(1/2, 1/402, 6/67, 7669/201), (0, 1/201, 12/67, 1871/201), (0, 0, 1/2, 123/2), (0, 0, 0, 67)]
[(1/2, 0, 1/4, 195/4), (0, 1/204, 59/136, 679/408), (0, 0, 1/2, 59/2), (0, 0, 0, 68)]
[(1/2, 0, 7, 5/2), (0, 1/252, 1045/84, 43/18), (0, 0, 14, 2), (0, 0, 0, 3)]
[(1/2, 1/330, 17/55, 128/33), (0, 1/165, 34/55, 256/33), (0, 0, 5/2, 7/2), (0, 0, 0, 11)]
[(1/2, 1/534, 1/89, 8503/267), (0, 1/267, 2/89, 17006/267), (0, 0, 1/2, 165/2), (0, 0, 0, 89)]
[(1/2, 1/426, 33/71, 10150/213), (0, 1/213, 61/142, 8011/426), (0, 0, 1/2, 11/2), (0, 0, 0, 71)]
[(1/2, 1/306, 41/102, 10493/306), (0, 1/153, 31/102, 3697/306), (0, 0, 1/2, 11/2), (0, 0, 0, 51)]
[(1/2, 0, 0, 39/2), (0, 1/234, 55/78, 3676/117), (0, 0, 1, 7), (0, 0, 0, 39)]
[(1/2, 0, 7/4, 27/4), (0, 1/252, 125/56, 763/72), (0, 0, 7/2, 3/2), (0, 0, 0, 12)]
[(1/2, 0, 1/4, 125/4), (0, 1/108, 7/72, 4525/216), (0, 0, 1/2, 53/2), (0, 0, 0, 36)]
[(1/2, 1/210, 4/35, 1213/105), (0, 1/105, 8/35, 2426/105), (0, 0, 1/2, 47/2), (0, 0, 0, 35)]
[(1/2, 0, 1/4, 115/4), (0, 1/264, 5/176, 20569/528), (0, 0, 1/2, 115/2), (0, 0, 0, 88)]
[(1/2, 1/246, 19/82, 3593/246), (0, 1/123, 19/41, 3593/123), (0, 0, 1/2, 45/2), (0, 0, 0, 41)]
[(1/2, 1/474, 35/79, 8305/237), (0, 1/237, 61/158, 5965/474), (0, 0, 1/2, 115/2), (0, 0, 0, 79)]
[(1/2, 1/150, 9/25, 307/75), (0, 1/75, 11/50, 253/150), (0, 0, 1/2, 13/2), (0, 0, 0, 25)]
[(1/2, 0, 7/4, 11/4), (0, 1/252, 115/168, 631/72), (0, 0, 7/2, 11/2), (0, 0, 0, 12)]
[(1/2, 0, 1/4, 333/4), (0, 1/276, 71/184, 30157/552), (0, 0, 1/2, 149/2), (0, 0, 0, 92)]
[(1/2, 0, 0, 39/2), (0, 1/234, 49/78, 49/117), (0, 0, 1, 19), (0, 0, 0, 39)]
[(1/2, 1/366, 23/122, 14387/366), (0, 1/183, 23/61, 3224/183), (0, 0, 1/2, 111/2), (0, 0, 0, 61)]
[(1/2, 0, 1/4, 237/4), (0, 1/276, 63/184, 16597/552), (0, 0, 1/2, 53/2), (0, 0, 0, 92)]
[(1/2, 1/186, 19/62, 2819/186), (0, 1/93, 7/62, 3313/186), (0, 0, 1/2, 25/2), (0, 0, 0, 31)]
[(1/2, 1/270, 37/90, 1169/270), (0, 1/135, 29/90, 9493/270), (0, 0, 1/2, 37/2), (0, 0, 0, 45)]
[(1/2, 0, 5/4, 1/4), (0, 1/60, 43/40, 53/24), (0, 0, 5/2, 1/2), (0, 0, 0, 4)]
[(1/2, 0, 1/4, 147/4), (0, 1/144, 1/32, 7663/288), (0, 0, 1/2, 51/2), (0, 0, 0, 48)]
[(1/2, 0, 0, 29/2), (0, 1/174, 9/58, 466/87), (0, 0, 1, 5), (0, 0, 0, 29)]
[(1/2, 0, 0, 9/2), (0, 1/54, 5/6, 46/27), (0, 0, 1, 6), (0, 0, 0, 9)]
[(1/2, 1/330, 83/55, 257/33), (0, 1/165, 57/110, 533/66), (0, 0, 5/2, 15/2), (0, 0, 0, 11)]
[(1/2, 0, 0, 41/2), (0, 1/246, 15/82, 3490/123), (0, 0, 1, 19), (0, 0, 0, 41)]
[(1/2, 0, 1/4, 19/4), (0, 1/18, 5/12, 25/36), (0, 0, 1/2, 7/2), (0, 0, 0, 6)]
[(1/2, 0, 1/4, 77/4), (0, 1/204, 59/136, 8569/408), (0, 0, 1/2, 77/2), (0, 0, 0, 68)]
[(1/2, 0, 1/4, 93/4), (0, 1/210, 9/140, 11227/420), (0, 0, 1/2, 93/2), (0, 0, 0, 70)]
[(1/2, 1/426, 65/142, 8903/426), (0, 1/213, 59/142, 21001/426), (0, 0, 1/2, 127/2), (0, 0, 0, 71)]
[(1/2, 0, 1/4, 45/4), (0, 1/72, 7/16, 535/144), (0, 0, 1/2, 45/2), (0, 0, 0, 24)]
[(1/2, 0, 1/4, 189/4), (0, 1/216, 1/16, 8419/432), (0, 0, 1/2, 45/2), (0, 0, 0, 72)]
[(1/2, 0, 0, 11/2), (0, 1/66, 1/22, 244/33), (0, 0, 1, 8), (0, 0, 0, 11)]
[(1/2, 1/498, 23/166, 13379/498), (0, 1/249, 23/83, 13379/249), (0, 0, 1/2, 149/2), (0, 0, 0, 83)]
[(1/2, 0, 1/4, 3/4), (0, 1/30, 1/20, 13/60), (0, 0, 1/2, 3/2), (0, 0, 0, 10)]
[(1/2, 1/330, 42/55, 332/33), (0, 1/165, 84/55, 301/33), (0, 0, 5/2, 1/2), (0, 0, 0, 11)]
[(1/2, 0, 1/4, 11/4), (0, 1/222, 3/148, 14719/444), (0, 0, 1/2, 11/2), (0, 0, 0, 74)]
[(1/2, 1/318, 8/53, 2962/159), (0, 1/159, 16/53, 5924/159), (0, 0, 1/2, 19/2), (0, 0, 0, 53)]
[(1/2, 1/306, 19/102, 10295/306), (0, 1/153, 19/51, 2492/153), (0, 0, 1/2, 61/2), (0, 0, 0, 51)]
[(1/2, 0, 1/4, 141/4), (0, 1/132, 19/88, 5185/264), (0, 0, 1/2, 53/2), (0, 0, 0, 44)]
[(1/2, 0, 1/4, 37/4), (0, 1/114, 17/76, 1651/228), (0, 0, 1/2, 37/2), (0, 0, 0, 38)]
[(1/2, 1/510, 39/85, 20623/255), (0, 1/255, 71/170, 24607/510), (0, 0, 1/2, 57/2), (0, 0, 0, 85)]
[(1/2, 0, 5/4, 47/4), (0, 1/270, 143/180, 1535/108), (0, 0, 5/2, 11/2), (0, 0, 0, 18)]
[(1/2, 1/498, 17/166, 35489/498), (0, 1/249, 17/83, 14822/249), (0, 0, 1/2, 157/2), (0, 0, 0, 83)]
[(1/2, 1/210, 41/35, 1/15), (0, 1/105, 82/35, 2/15), (0, 0, 7/2, 9/2), (0, 0, 0, 5)]
[(1/2, 1/342, 5/114, 3905/342), (0, 1/171, 5/57, 3905/171), (0, 0, 1/2, 47/2), (0, 0, 0, 57)]
[(1/2, 0, 1/4, 93/4), (0, 1/102, 9/68, 1531/204), (0, 0, 1/2, 25/2), (0, 0, 0, 34)]
[(1/2, 0, 1, 1/2), (0, 1/156, 101/52, 835/78), (0, 0, 2, 1), (0, 0, 0, 13)]
[(1/2, 1/174, 23/58, 4661/174), (0, 1/87, 17/58, 2449/174), (0, 0, 1/2, 21/2), (0, 0, 0, 29)]
[(1/2, 0, 1/4, 253/4), (0, 1/240, 1/160, 11563/480), (0, 0, 1/2, 93/2), (0, 0, 0, 80)]
[(1/2, 0, 1/4, 13/4), (0, 1/144, 5/96, 3751/288), (0, 0, 1/2, 13/2), (0, 0, 0, 48)]
[(1/2, 1/426, 1/142, 20687/426), (0, 1/213, 1/71, 5564/213), (0, 0, 1/2, 101/2), (0, 0, 0, 71)]
[(1/2, 1/246, 33/82, 8279/246), (0, 1/123, 25/82, 5119/246), (0, 0, 1/2, 11/2), (0, 0, 0, 41)]
[(1/2, 0, 1/4, 253/4), (0, 1/240, 31/160, 30133/480), (0, 0, 1/2, 93/2), (0, 0, 0, 80)]
[(1/2, 1/378, 10/63, 4090/189), (0, 1/189, 20/63, 8180/189), (0, 0, 1/2, 65/2), (0, 0, 0, 63)]
[(1/2, 1/450, 31/75, 15772/225), (0, 1/225, 49/150, 12013/450), (0, 0, 1/2, 77/2), (0, 0, 0, 75)]
[(1/2, 0, 0, 45/2), (0, 1/270, 47/90, 2227/135), (0, 0, 1, 2), (0, 0, 0, 45)]
[(1/2, 1/474, 25/158, 5171/474), (0, 1/237, 25/79, 5171/237), (0, 0, 1/2, 41/2), (0, 0, 0, 79)]
[(1/2, 1/462, 1/154, 851/462), (0, 1/231, 1/77, 851/231), (0, 0, 1/2, 19/2), (0, 0, 0, 77)]
[(1/2, 0, 1/4, 61/4), (0, 1/168, 33/112, 16267/336), (0, 0, 1/2, 61/2), (0, 0, 0, 56)]
[(1/2, 0, 1/4, 293/4), (0, 1/234, 7/156, 27637/468), (0, 0, 1/2, 137/2), (0, 0, 0, 78)]
[(1/2, 0, 1/4, 51/4), (0, 1/126, 3/28, 8581/252), (0, 0, 1/2, 51/2), (0, 0, 0, 42)]
[(1/2, 0, 0, 33/2), (0, 1/198, 41/66, 1075/99), (0, 0, 1, 5), (0, 0, 0, 33)]
[(1/2, 1/570, 7/190, 23639/570), (0, 1/285, 7/95, 23639/285), (0, 0, 1/2, 137/2), (0, 0, 0, 95)]
[(1/2, 1/78, 11/26, 905/78), (0, 1/39, 9/26, 913/78), (0, 0, 1/2, 23/2), (0, 0, 0, 13)]
[(1/2, 0, 0, 43/2), (0, 1/258, 45/86, 4726/129), (0, 0, 1, 11), (0, 0, 0, 43)]
[(1/2, 1/294, 163/98, 167/42), (0, 1/147, 163/49, 20/21), (0, 0, 7/2, 9/2), (0, 0, 0, 7)]
[(1/2, 0, 1, 11/2), (0, 1/228, 107/76, 847/114), (0, 0, 2, 11), (0, 0, 0, 19)]
[(1/2, 1/498, 25/166, 22031/498), (0, 1/249, 25/83, 1364/249), (0, 0, 1/2, 163/2), (0, 0, 0, 83)]
[(1/2, 0, 1/4, 149/4), (0, 1/246, 5/164, 29575/492), (0, 0, 1/2, 149/2), (0, 0, 0, 82)]
[(1/2, 1/510, 29/85, 9862/255), (0, 1/255, 31/170, 10633/510), (0, 0, 1/2, 113/2), (0, 0, 0, 85)]
[(1/2, 1/354, 13/118, 6203/354), (0, 1/177, 13/59, 6203/177), (0, 0, 1/2, 109/2), (0, 0, 0, 59)]
[(1/2, 0, 1/4, 13/4), (0, 1/264, 3/176, 41617/528), (0, 0, 1/2, 13/2), (0, 0, 0, 88)]
[(1/2, 0, 1, 17/2), (0, 1/132, 43/44, 79/66), (0, 0, 2, 6), (0, 0, 0, 11)]
[(1/2, 0, 1/4, 237/4), (0, 1/240, 51/160, 3937/480), (0, 0, 1/2, 77/2), (0, 0, 0, 80)]
[(1/2, 0, 0, 37/2), (0, 1/222, 45/74, 1273/111), (0, 0, 1, 17), (0, 0, 0, 37)]
[(1/2, 0, 1/4, 173/4), (0, 1/168, 19/112, 769/336), (0, 0, 1/2, 61/2), (0, 0, 0, 56)]
[(1/2, 0, 7/4, 21/4), (0, 1/126, 71/28, 7/36), (0, 0, 7/2, 9/2), (0, 0, 0, 6)]
[(1/2, 0, 1/4, 163/4), (0, 1/210, 9/140, 3877/420), (0, 0, 1/2, 23/2), (0, 0, 0, 70)]
[(1/2, 1/234, 6/13, 3988/117), (0, 1/117, 11/26, 1561/234), (0, 0, 1/2, 45/2), (0, 0, 0, 39)]
[(1/2, 0, 0, 31/2), (0, 1/186, 47/62, 2122/93), (0, 0, 1, 26), (0, 0, 0, 31)]
[(1/2, 0, 5/4, 39/4), (0, 1/270, 31/60, 701/108), (0, 0, 5/2, 3/2), (0, 0, 0, 18)]
[(1/2, 0, 1/4, 107/4), (0, 1/90, 1/60, 2437/180), (0, 0, 1/2, 47/2), (0, 0, 0, 30)]
