[(1/2, 0, 0, 17/2), (0, 1/238, 1/2, 503/119), (0, 0, 1, 0), (0, 0, 0, 17)]
[(1/2, 1/322, 0, 1672/161), (0, 1/161, 0, 3344/161), (0, 0, 1/2, 23/2), (0, 0, 0, 23)]
[(1/2, 0, 0, 5/2), (0, 1/70, 1/2, 153/35), (0, 0, 1, 0), (0, 0, 0, 5)]
[(1/2, 1/98, 0, 69/49), (0, 1/49, 0, 138/49), (0, 0, 1/2, 7/2), (0, 0, 0, 7)]
[(1/2, 1/546, 31/78, 7621/546), (0, 1/273, 23/78, 20429/546), (0, 0, 1/2, 59/2), (0, 0, 0, 39)]
[(1/2, 0, 0, 19/2), (0, 1/266, 23/38, 769/133), (0, 0, 1, 4), (0, 0, 0, 19)]
[(1/2, 1/238, 0, 503/119), (0, 1/119, 0, 1006/119), (0, 0, 1/2, 17/2), (0, 0, 0, 17)]
[(1/2, 1/70, 0, 153/35), (0, 1/35, 0, 131/35), (0, 0, 1/2, 5/2), (0, 0, 0, 5)]
[(1/2, 0, 0, 21/2), (0, 1/294, 19/42, 293/147), (0, 0, 1, 20), (0, 0, 0, 21)]
[(1/2, 1/70, 0, 97/35), (0, 1/35, 0, 19/35), (0, 0, 1/2, 5/2), (0, 0, 0, 5)]
[(1/2, 1/490, 0, 4528/245), (0, 1/245, 0, 481/245), (0, 0, 1/2, 35/2), (0, 0, 0, 35)]
[(1/2, 0, 4, 5/2), (0, 1/336, 53/48, 89/42), (0, 0, 8, 2), (0, 0, 0, 3)]
[(1/2, 1/14, 0, 6/7), (0, 1/7, 0, 5/7), (0, 0, 1/2, 1/2), (0, 0, 0, 1)]
[(1/2, 1/574, 0, 4983/287), (0, 1/287, 0, 9966/287), (0, 0, 1/2, 41/2), (0, 0, 0, 41)]
[(1/2, 1/350, 0, 1728/175), (0, 1/175, 0, 3456/175), (0, 0, 1/2, 25/2), (0, 0, 0, 25)]
[(1/2, 1/238, 0, 1231/119), (0, 1/119, 0, 439/119), (0, 0, 1/2, 17/2), (0, 0, 0, 17)]
[(1/2, 0, 0, 9/2), (0, 1/252, 11/36, 514/63), (0, 0, 2, 8), (0, 0, 0, 9)]
[(1/2, 1/546, 77/39, 8/21), (0, 1/273, 154/39, 16/21), (0, 0, 13/2, 5/2), (0, 0, 0, 3)]
[(1/2, 1/350, 0, 2022/175), (0, 1/175, 0, 4044/175), (0, 0, 1/2, 25/2), (0, 0, 0, 25)]
[(1/2, 0, 0, 7/2), (0, 1/98, 1/2, 69/49), (0, 0, 1, 0), (0, 0, 0, 7)]
[(1/2, 0, 0, 17/2), (0, 1/238, 1/2, 1231/119), (0, 0, 1, 0), (0, 0, 0, 17)]
[(1/2, 1/546, 10/39, 2239/273), (0, 1/273, 1/78, 15781/546), (0, 0, 1/2, 53/2), (0, 0, 0, 39)]
