[(1/2, 1/6, 0, 1/3), (0, 1/3, 0, 2/3), (0, 0, 1/2, 1/2), (0, 0, 0, 1)]
[(1/2, 1/510, 19/85, 4864/255), (0, 1/255, 38/85, 9728/255), (0, 0, 1/2, 169/2), (0, 0, 0, 85)]
[(1/2, 0, 0, 9/2), (0, 1/54, 1/2, 109/27), (0, 0, 1, 0), (0, 0, 0, 9)]
[(1/2, 1/234, 11/78, 6875/234), (0, 1/117, 11/39, 2312/117), (0, 0, 1/2, 77/2), (0, 0, 0, 39)]
[(1/2, 1/330, 17/110, 1193/330), (0, 1/165, 17/55, 1193/165), (0, 0, 1/2, 1/2), (0, 0, 0, 55)]
[(1/2, 0, 1/4, 101/4), (0, 1/150, 29/100, 1471/300), (0, 0, 1/2, 1/2), (0, 0, 0, 50)]
[(1/2, 0, 0, 21/2), (0, 1/126, 1/2, 919/63), (0, 0, 1, 0), (0, 0, 0, 21)]
[(1/2, 1/474, 31/79, 16621/237), (0, 1/237, 45/158, 29275/474), (0, 0, 1/2, 157/2), (0, 0, 0, 79)]
[(1/2, 0, 1/4, 211/4), (0, 1/252, 59/168, 29383/504), (0, 0, 1/2, 43/2), (0, 0, 0, 84)]
[(1/2, 0, 0, 39/2), (0, 1/234, 5/6, 3343/117), (0, 0, 1, 26), (0, 0, 0, 39)]
[(1/2, 1/102, 2/17, 580/51), (0, 1/51, 4/17, 293/51), (0, 0, 1/2, 33/2), (0, 0, 0, 17)]
[(1/2, 1/402, 0, 11251/201), (0, 1/201, 0, 9035/201), (0, 0, 1/2, 67/2), (0, 0, 0, 67)]
[(1/2, 1/534, 0, 6784/267), (0, 1/267, 0, 13568/267), (0, 0, 1/2, 89/2), (0, 0, 0, 89)]
[(1/2, 0, 1/4, 5/4), (0, 1/6, 1/4, 19/12), (0, 0, 1/2, 1/2), (0, 0, 0, 2)]
[(1/2, 1/450, 26/75, 13549/225), (0, 1/225, 29/150, 20221/450), (0, 0, 1/2, 1/2), (0, 0, 0, 75)]
[(1/2, 1/282, 0, 1111/141), (0, 1/141, 0, 2222/141), (0, 0, 1/2, 47/2), (0, 0, 0, 47)]
[(1/2, 1/162, 0, 1081/81), (0, 1/81, 0, 2162/81), (0, 0, 1/2, 27/2), (0, 0, 0, 27)]
[(1/2, 1/462, 5/154, 1535/462), (0, 1/231, 5/77, 1535/231), (0, 0, 1/2, 1/2), (0, 0, 0, 77)]
[(1/2, 0, 1/4, 101/4), (0, 1/150, 21/100, 3679/300), (0, 0, 1/2, 1/2), (0, 0, 0, 50)]
