[(1/2, 1/506, 0, 2529/253), (0, 1/253, 0, 5058/253), (0, 0, 1/2, 23/2), (0, 0, 0, 23)]
[(1/2, 1/814, 0, 8227/407), (0, 1/407, 0, 1395/407), (0, 0, 1/2, 37/2), (0, 0, 0, 37)]
[(1/2, 0, 0, 23/2), (0, 1/506, 1/2, 2529/253), (0, 0, 1, 0), (0, 0, 0, 23)]
[(1/2, 0, 1/4, 135/4), (0, 1/836, 13/152, 100437/1672), (0, 0, 1/2, 135/2), (0, 0, 0, 76)]
[(1/2, 0, 0, 11/2), (0, 1/242, 1/2, 956/121), (0, 0, 1, 0), (0, 0, 0, 11)]
[(1/2, 0, 0, 19/2), (0, 1/418, 1/2, 1286/209), (0, 0, 1, 0), (0, 0, 0, 19)]
[(1/2, 0, 0, 19/2), (0, 1/418, 23/38, 1418/209), (0, 0, 1, 3), (0, 0, 0, 19)]
[(1/2, 1/682, 0, 10559/341), (0, 1/341, 0, 10547/341), (0, 0, 1/2, 31/2), (0, 0, 0, 31)]
[(1/2, 1/638, 0, 3035/319), (0, 1/319, 0, 6070/319), (0, 0, 1/2, 29/2), (0, 0, 0, 29)]
[(1/2, 1/638, 0, 329/319), (0, 1/319, 0, 658/319), (0, 0, 1/2, 29/2), (0, 0, 0, 29)]
[(1/2, 1/682, 0, 4817/341), (0, 1/341, 0, 9634/341), (0, 0, 1/2, 31/2), (0, 0, 0, 31)]
[(1/2, 1/506, 0, 2232/253), (0, 1/253, 0, 4464/253), (0, 0, 1/2, 23/2), (0, 0, 0, 23)]
[(1/2, 0, 1/4, 73/4), (0, 1/506, 27/92, 38133/1012), (0, 0, 1/2, 73/2), (0, 0, 0, 46)]
[(1/2, 0, 0, 17/2), (0, 1/374, 1/2, 2540/187), (0, 0, 1, 0), (0, 0, 0, 17)]
[(1/2, 1/902, 0, 6665/451), (0, 1/451, 0, 13330/451), (0, 0, 1/2, 41/2), (0, 0, 0, 41)]
[(1/2, 0, 0, 1/2), (0, 1/22, 1/2, 10/11), (0, 0, 1, 0), (0, 0, 0, 1)]
[(1/2, 0, 0, 23/2), (0, 1/506, 1/2, 2232/253), (0, 0, 1, 0), (0, 0, 0, 23)]
[(1/2, 1/242, 0, 956/121), (0, 1/121, 0, 581/121), (0, 0, 1/2, 11/2), (0, 0, 0, 11)]
[(1/2, 1/374, 0, 1506/187), (0, 1/187, 0, 3012/187), (0, 0, 1/2, 17/2), (0, 0, 0, 17)]
[(1/2, 1/22, 0, 10/11), (0, 1/11, 0, 9/11), (0, 0, 1/2, 1/2), (0, 0, 0, 1)]
[(1/2, 1/374, 0, 2540/187), (0, 1/187, 0, 1901/187), (0, 0, 1/2, 17/2), (0, 0, 0, 17)]
[(1/2, 0, 3, 9/2), (0, 1/660, 359/60, 249/110), (0, 0, 6, 4), (0, 0, 0, 5)]
[(1/2, 0, 3/4, 27/4), (0, 1/660, 7/120, 5979/440), (0, 0, 3/2, 27/2), (0, 0, 0, 20)]
[(1/2, 1/814, 0, 12308/407), (0, 1/407, 0, 9557/407), (0, 0, 1/2, 37/2), (0, 0, 0, 37)]
[(1/2, 0, 0, 17/2), (0, 1/374, 1/2, 1506/187), (0, 0, 1, 0), (0, 0, 0, 17)]
[(1/2, 1/418, 0, 3046/209), (0, 1/209, 0, 2121/209), (0, 0, 1/2, 19/2), (0, 0, 0, 19)]
[(1/2, 0, 1/4, 25/4), (0, 1/418, 33/76, 27991/836), (0, 0, 1/2, 25/2), (0, 0, 0, 38)]
[(1/2, 1/418, 0, 1286/209), (0, 1/209, 0, 2572/209), (0, 0, 1/2, 19/2), (0, 0, 0, 19)]
[(1/2, 0, 0, 1/2), (0, 1/198, 107/18, 6/11), (0, 0, 9, 0), (0, 0, 0, 1)]
[(1/2, 0, 1/4, 57/4), (0, 1/616, 13/112, 7883/1232), (0, 0, 1/2, 57/2), (0, 0, 0, 56)]
[(1/2, 0, 1, 3/2), (0, 1/308, 47/28, 857/154), (0, 0, 2, 3), (0, 0, 0, 7)]
[(1/2, 1/902, 27/82, 3771/902), (0, 1/451, 13/82, 32347/902), (0, 0, 1/2, 27/2), (0, 0, 0, 41)]
[(1/2, 0, 1/4, 87/4), (0, 1/286, 21/52, 12261/572), (0, 0, 1/2, 35/2), (0, 0, 0, 26)]
[(1/2, 0, 1/4, 127/4), (0, 1/374, 13/68, 4429/748), (0, 0, 1/2, 59/2), (0, 0, 0, 34)]
[(1/2, 0, 9, 1/2), (0, 1/396, 55/36, 17/22), (0, 0, 18, 0), (0, 0, 0, 1)]
