[(1/2, 1/6, 0, 1/3), (0, 1/3, 0, 2/3), (0, 0, 1/2, 1/2), (0, 0, 0, 1)]
[(1/2, 1/66, 9/22, 383/66), (0, 1/33, 7/22, 73/66), (0, 0, 1/2, 21/2), (0, 0, 0, 11)]
[(1/2, 1/138, 0, 340/69), (0, 1/69, 0, 680/69), (0, 0, 1/2, 23/2), (0, 0, 0, 23)]
[(1/2, 0, 0, 23/2), (0, 1/138, 1/2, 718/69), (0, 0, 1, 0), (0, 0, 0, 23)]
[(1/2, 1/234, 0, 4462/117), (0, 1/117, 0, 4361/117), (0, 0, 1/2, 39/2), (0, 0, 0, 39)]
[(1/2, 0, 0, 29/2), (0, 1/174, 25/58, 1078/87), (0, 0, 1, 12), (0, 0, 0, 29)]
[(1/2, 1/306, 35/102, 7481/306), (0, 1/153, 19/102, 15115/306), (0, 0, 1/2, 101/2), (0, 0, 0, 51)]
[(1/2, 1/66, 9/22, 101/66), (0, 1/33, 7/22, 169/66), (0, 0, 1/2, 1/2), (0, 0, 0, 11)]
[(1/2, 0, 1/4, 53/4), (0, 1/78, 7/52, 565/156), (0, 0, 1/2, 1/2), (0, 0, 0, 26)]
[(1/2, 0, 0, 9/2), (0, 1/54, 1/2, 61/27), (0, 0, 1, 0), (0, 0, 0, 9)]
[(1/2, 1/198, 1/33, 2575/99), (0, 1/99, 2/33, 1883/99), (0, 0, 1/2, 65/2), (0, 0, 0, 33)]
[(1/2, 1/198, 10/33, 901/99), (0, 1/99, 7/66, 3703/198), (0, 0, 1/2, 65/2), (0, 0, 0, 33)]
[(1/2, 1/222, 3/74, 1847/222), (0, 1/111, 3/37, 1847/111), (0, 0, 1/2, 1/2), (0, 0, 0, 37)]
[(1/2, 0, 0, 11/2), (0, 1/66, 1/2, 163/33), (0, 0, 1, 0), (0, 0, 0, 11)]
[(1/2, 1/306, 25/51, 1045/153), (0, 1/153, 49/102, 4333/306), (0, 0, 1/2, 101/2), (0, 0, 0, 51)]
[(1/2, 1/246, 14/41, 2323/123), (0, 1/123, 15/82, 9169/246), (0, 0, 1/2, 1/2), (0, 0, 0, 41)]
[(1/2, 0, 0, 23/2), (0, 1/138, 1/2, 340/69), (0, 0, 1, 0), (0, 0, 0, 23)]
[(1/2, 0, 1/4, 53/4), (0, 1/78, 19/52, 865/156), (0, 0, 1/2, 1/2), (0, 0, 0, 26)]
[(1/2, 0, 1/4, 83/4), (0, 1/180, 31/120, 6763/360), (0, 0, 1/2, 83/2), (0, 0, 0, 60)]
[(1/2, 0, 0, 17/2), (0, 1/102, 1/2, 307/51), (0, 0, 1, 0), (0, 0, 0, 17)]
[(1/2, 1/354, 27/118, 6281/354), (0, 1/177, 27/59, 6281/177), (0, 0, 1/2, 117/2), (0, 0, 0, 59)]
[(1/2, 0, 0, 3/2), (0, 1/18, 1/2, 7/9), (0, 0, 1, 0), (0, 0, 0, 3)]
[(1/2, 0, 1/4, 109/4), (0, 1/162, 41/108, 1579/324), (0, 0, 1/2, 1/2), (0, 0, 0, 54)]
[(1/2, 1/282, 11/47, 199/141), (0, 1/141, 22/47, 398/141), (0, 0, 1/2, 93/2), (0, 0, 0, 47)]
[(1/2, 1/54, 7/18, 263/54), (0, 1/27, 5/18, 13/54), (0, 0, 1/2, 1/2), (0, 0, 0, 9)]
[(1/2, 1/282, 25/94, 8297/282), (0, 1/141, 3/94, 3481/282), (0, 0, 1/2, 93/2), (0, 0, 0, 47)]
[(1/2, 0, 1/4, 67/4), (0, 1/102, 19/68, 4711/204), (0, 0, 1/2, 67/2), (0, 0, 0, 34)]
[(1/2, 1/354, 0, 3331/177), (0, 1/177, 0, 6662/177), (0, 0, 1/2, 59/2), (0, 0, 0, 59)]
[(1/2, 1/78, 5/13, 187/39), (0, 1/39, 7/26, 787/78), (0, 0, 1/2, 25/2), (0, 0, 0, 13)]
[(1/2, 0, 1/4, 5/4), (0, 1/6, 1/4, 19/12), (0, 0, 1/2, 1/2), (0, 0, 0, 2)]
[(1/2, 1/138, 5/46, 317/138), (0, 1/69, 5/23, 317/69), (0, 0, 1/2, 1/2), (0, 0, 0, 23)]
[(1/2, 1/102, 8/17, 349/51), (0, 1/51, 15/34, 1345/102), (0, 0, 1/2, 1/2), (0, 0, 0, 17)]
[(1/2, 1/78, 0, 439/39), (0, 1/39, 0, 371/39), (0, 0, 1/2, 13/2), (0, 0, 0, 13)]
[(1/2, 1/162, 7/54, 749/162), (0, 1/81, 7/27, 749/81), (0, 0, 1/2, 1/2), (0, 0, 0, 27)]
[(1/2, 1/222, 3/74, 3629/222), (0, 1/111, 3/37, 3629/111), (0, 0, 1/2, 73/2), (0, 0, 0, 37)]
[(1/2, 1/234, 0, 439/117), (0, 1/117, 0, 878/117), (0, 0, 1/2, 39/2), (0, 0, 0, 39)]
[(1/2, 1/18, 0, 7/9), (0, 1/9, 0, 14/9), (0, 0, 1/2, 3/2), (0, 0, 0, 3)]
[(1/2, 1/246, 13/82, 2201/246), (0, 1/123, 13/41, 2201/123), (0, 0, 1/2, 1/2), (0, 0, 0, 41)]
[(1/2, 1/102, 0, 307/51), (0, 1/51, 0, 614/51), (0, 0, 1/2, 17/2), (0, 0, 0, 17)]
[(1/2, 0, 1/4, 43/4), (0, 1/66, 7/44, 2251/132), (0, 0, 1/2, 43/2), (0, 0, 0, 22)]
[(1/2, 1/354, 20/59, 5014/177), (0, 1/177, 21/118, 6073/354), (0, 0, 1/2, 79/2), (0, 0, 0, 59)]
[(1/2, 0, 1/4, 157/4), (0, 1/156, 33/104, 12811/312), (0, 0, 1/2, 53/2), (0, 0, 0, 52)]
[(1/2, 1/198, 2/33, 1666/99), (0, 1/99, 4/33, 65/99), (0, 0, 1/2, 37/2), (0, 0, 0, 33)]
[(1/2, 0, 0, 25/2), (0, 1/150, 27/50, 163/75), (0, 0, 1, 23), (0, 0, 0, 25)]
[(1/2, 1/210, 97/70, 83/30), (0, 1/105, 97/35, 8/15), (0, 0, 7/2, 1/2), (0, 0, 0, 5)]
[(1/2, 0, 1/4, 11/4), (0, 1/114, 25/76, 2485/228), (0, 0, 1/2, 11/2), (0, 0, 0, 38)]
[(1/2, 0, 1/4, 21/4), (0, 1/174, 33/116, 17995/348), (0, 0, 1/2, 21/2), (0, 0, 0, 58)]
[(1/2, 1/342, 41/114, 17345/342), (0, 1/171, 25/114, 13315/342), (0, 0, 1/2, 11/2), (0, 0, 0, 57)]
[(1/2, 0, 0, 5/2), (0, 1/150, 11/50, 59/15), (0, 0, 5, 3), (0, 0, 0, 5)]
[(1/2, 0, 5, 1/2), (0, 1/120, 189/40, 23/12), (0, 0, 10, 1), (0, 0, 0, 2)]
[(1/2, 0, 0, 31/2), (0, 1/186, 49/62, 481/93), (0, 0, 1, 13), (0, 0, 0, 31)]
[(1/2, 0, 1, 17/2), (0, 1/168, 109/56, 127/84), (0, 0, 2, 3), (0, 0, 0, 14)]
[(1/2, 0, 1/4, 59/4), (0, 1/114, 5/76, 8329/228), (0, 0, 1/2, 59/2), (0, 0, 0, 38)]
[(1/2, 1/330, 832/55, 1/3), (0, 1/165, 303/110, 1/6), (0, 0, 55/2, 1/2), (0, 0, 0, 1)]
[(1/2, 0, 1/4, 77/4), (0, 1/192, 3/128, 16753/384), (0, 0, 1/2, 77/2), (0, 0, 0, 64)]
[(1/2, 0, 1/4, 67/4), (0, 1/144, 23/96, 931/288), (0, 0, 1/2, 67/2), (0, 0, 0, 48)]
[(1/2, 0, 1/4, 141/4), (0, 1/144, 15/32, 10207/288), (0, 0, 1/2, 45/2), (0, 0, 0, 48)]
[(1/2, 0, 1/4, 13/4), (0, 1/180, 59/120, 7897/360), (0, 0, 1/2, 13/2), (0, 0, 0, 60)]
[(1/2, 0, 1/4, 61/4), (0, 1/144, 23/96, 13405/288), (0, 0, 1/2, 61/2), (0, 0, 0, 48)]
[(1/2, 0, 19/4, 7/4), (0, 1/114, 289/76, 1/12), (0, 0, 19/2, 3/2), (0, 0, 0, 2)]
[(1/2, 1/330, 53/110, 8219/330), (0, 1/165, 51/110, 12643/330), (0, 0, 1/2, 23/2), (0, 0, 0, 55)]
[(1/2, 0, 1, 3/2), (0, 1/144, 15/16, 169/72), (0, 0, 2, 3), (0, 0, 0, 12)]
[(1/2, 1/234, 343/78, 23/18), (0, 1/117, 179/78, 37/18), (0, 0, 13/2, 1/2), (0, 0, 0, 3)]
[(1/2, 1/78, 2/13, 7/39), (0, 1/39, 4/13, 14/39), (0, 0, 1/2, 9/2), (0, 0, 0, 13)]
[(1/2, 1/162, 25/54, 1289/162), (0, 1/81, 23/54, 1039/162), (0, 0, 1/2, 19/2), (0, 0, 0, 27)]
[(1/2, 0, 5/4, 33/4), (0, 1/150, 147/100, 581/60), (0, 0, 5/2, 13/2), (0, 0, 0, 10)]
[(1/2, 0, 0, 29/2), (0, 1/174, 51/58, 2335/87), (0, 0, 1, 7), (0, 0, 0, 29)]
[(1/2, 0, 1/4, 83/4), (0, 1/150, 11/100, 10183/300), (0, 0, 1/2, 83/2), (0, 0, 0, 50)]
[(1/2, 0, 1/4, 5/4), (0, 1/126, 13/84, 10111/252), (0, 0, 1/2, 5/2), (0, 0, 0, 42)]
[(1/2, 1/222, 13/74, 7241/222), (0, 1/111, 13/37, 3134/111), (0, 0, 1/2, 55/2), (0, 0, 0, 37)]
[(1/2, 1/246, 9/41, 1510/123), (0, 1/123, 18/41, 3020/123), (0, 0, 1/2, 13/2), (0, 0, 0, 41)]
[(1/2, 0, 13/4, 1/4), (0, 1/78, 159/52, 1/12), (0, 0, 13/2, 1/2), (0, 0, 0, 2)]
[(1/2, 0, 1/4, 37/4), (0, 1/126, 41/84, 3091/252), (0, 0, 1/2, 37/2), (0, 0, 0, 42)]
[(1/2, 1/282, 20/47, 1921/141), (0, 1/141, 33/94, 5005/282), (0, 0, 1/2, 19/2), (0, 0, 0, 47)]
[(1/2, 1/246, 7/82, 6665/246), (0, 1/123, 7/41, 1622/123), (0, 0, 1/2, 71/2), (0, 0, 0, 41)]
