[(1/2, 0, 5/2, 0), (0, 1/10, 23/5, 1/2), (0, 0, 5, 0), (0, 0, 0, 1)]
[(1/2, 0, 31/2, 0), (0, 1/62, 704/31, 1/2), (0, 0, 31, 0), (0, 0, 0, 1)]
[(1/2, 0, 1/2, 0), (0, 1/20, 0, 71/20), (0, 0, 1, 0), (0, 0, 0, 10)]
[(1/2, 0, 1/2, 33), (0, 1/86, 29/43, 3215/86), (0, 0, 1, 23), (0, 0, 0, 43)]
[(1/2, 0, 1/2, 0), (0, 1/8, 0, 23/8), (0, 0, 1, 0), (0, 0, 0, 4)]
[(1/2, 0, 1/2, 0), (0, 1/4, 0, 7/4), (0, 0, 1, 0), (0, 0, 0, 2)]
[(1/2, 0, 1/2, 16), (0, 1/64, 1/2, 55/64), (0, 0, 1, 0), (0, 0, 0, 32)]
[(1/2, 0, 1/2, 0), (0, 1/2, 0, 1/2), (0, 0, 1, 0), (0, 0, 0, 1)]
[(1/2, 0, 1/2, 10), (0, 1/40, 1/2, 321/40), (0, 0, 1, 0), (0, 0, 0, 20)]
[(1/2, 0, 1/2, 0), (0, 1/68, 0, 1711/68), (0, 0, 1, 0), (0, 0, 0, 34)]
[(1/2, 0, 1/2, 0), (0, 1/62, 0, 447/62), (0, 0, 1, 0), (0, 0, 0, 31)]
[(1/2, 0, 37/2, 0), (0, 1/74, 335/37, 1/2), (0, 0, 37, 0), (0, 0, 0, 1)]
[(1/2, 0, 1/2, 0), (0, 1/50, 0, 1229/50), (0, 0, 1, 0), (0, 0, 0, 25)]
[(1/2, 0, 1/2, 0), (0, 1/20, 0, 121/20), (0, 0, 1, 0), (0, 0, 0, 10)]
[(1/2, 0, 43/2, 0), (0, 1/86, 1555/43, 1/2), (0, 0, 43, 0), (0, 0, 0, 1)]
[(1/2, 0, 1/2, 0), (0, 1/34, 0, 23/34), (0, 0, 1, 0), (0, 0, 0, 17)]
[(1/2, 0, 1/2, 0), (0, 1/16, 0, 55/16), (0, 0, 1, 0), (0, 0, 0, 8)]
[(1/2, 0, 1/2, 20), (0, 1/80, 1/2, 471/80), (0, 0, 1, 0), (0, 0, 0, 40)]
[(1/2, 0, 17/2, 0), (0, 1/34, 133/17, 1/2), (0, 0, 17, 0), (0, 0, 0, 1)]
[(1/2, 0, 1/2, 8), (0, 1/32, 1/2, 183/32), (0, 0, 1, 0), (0, 0, 0, 16)]
[(1/2, 0, 1/2, 0), (0, 1/74, 0, 2039/74), (0, 0, 1, 0), (0, 0, 0, 37)]
[(1/2, 0, 1/2, 0), (0, 1/68, 0, 23/68), (0, 0, 1, 0), (0, 0, 0, 34)]
[(1/2, 0, 1/2, 0), (0, 1/80, 0, 2121/80), (0, 0, 1, 0), (0, 0, 0, 40)]
[(1/2, 0, 1/2, 0), (0, 1/46, 0, 565/46), (0, 0, 1, 0), (0, 0, 0, 23)]
[(1/2, 0, 1/2, 1), (0, 1/78, 10/39, 2213/78), (0, 0, 1, 2), (0, 0, 0, 39)]
[(1/2, 0, 1/2, 0), (0, 1/40, 0, 521/40), (0, 0, 1, 0), (0, 0, 0, 20)]
[(1/2, 0, 23/2, 0), (0, 1/46, 18/23, 1/2), (0, 0, 23, 0), (0, 0, 0, 1)]
[(1/2, 0, 1/2, 0), (0, 1/32, 0, 55/32), (0, 0, 1, 0), (0, 0, 0, 16)]
[(1/2, 0, 25/2, 0), (0, 1/50, 323/25, 1/2), (0, 0, 25, 0), (0, 0, 0, 1)]
[(1/2, 0, 1/2, 2), (0, 1/8, 1/2, 31/8), (0, 0, 1, 0), (0, 0, 0, 4)]
[(1/2, 0, 1/2, 20), (0, 1/80, 1/2, 1321/80), (0, 0, 1, 0), (0, 0, 0, 40)]
[(1/2, 0, 1/2, 0), (0, 1/64, 0, 1591/64), (0, 0, 1, 0), (0, 0, 0, 32)]
[(1/2, 0, 1/2, 10), (0, 1/40, 1/2, 671/40), (0, 0, 1, 0), (0, 0, 0, 20)]
[(1/2, 0, 1/2, 0), (0, 1/10, 0, 21/10), (0, 0, 1, 0), (0, 0, 0, 5)]
[(1/2, 0, 1/2, 26), (0, 1/84, 4/21, 1943/84), (0, 0, 1, 10), (0, 0, 0, 42)]
[(1/2, 0, 1/2, 0), (0, 1/40, 0, 471/40), (0, 0, 1, 0), (0, 0, 0, 20)]
[(1/2, 0, 1/2, 4), (0, 1/16, 1/2, 87/16), (0, 0, 1, 0), (0, 0, 0, 8)]
[(1/2, 0, 1/2, 26), (0, 1/54, 8/27, 359/54), (0, 0, 1, 25), (0, 0, 0, 27)]
[(1/2, 0, 1/2, 2), (0, 1/72, 11/18, 2239/72), (0, 0, 1, 4), (0, 0, 0, 36)]
[(1/2, 0, 1/2, 26), (0, 1/72, 5/18, 703/72), (0, 0, 1, 16), (0, 0, 0, 36)]
[(1/2, 0, 1/2, 2), (0, 1/42, 13/21, 151/42), (0, 0, 1, 4), (0, 0, 0, 21)]
