[(1/2, 0, 35/2, 0), (0, 1/70, 529/35, 1/2), (0, 0, 35, 0), (0, 0, 0, 1)]
[(1/2, 0, 1/2, 0), (0, 1/10, 0, 33/10), (0, 0, 1, 0), (0, 0, 0, 5)]
[(1/2, 0, 1/2, 14), (0, 1/56, 1/2, 461/56), (0, 0, 1, 0), (0, 0, 0, 28)]
[(1/2, 0, 1/2, 22), (0, 1/64, 15/16, 1523/64), (0, 0, 1, 12), (0, 0, 0, 32)]
[(1/2, 0, 1/2, 10), (0, 1/40, 1/2, 333/40), (0, 0, 1, 0), (0, 0, 0, 20)]
[(1/2, 0, 1/2, 0), (0, 1/58, 0, 597/58), (0, 0, 1, 0), (0, 0, 0, 29)]
[(1/2, 0, 31/2, 0), (0, 1/62, 126/31, 1/2), (0, 0, 31, 0), (0, 0, 0, 1)]
[(1/2, 0, 1/2, 0), (0, 1/36, 0, 139/36), (0, 0, 1, 0), (0, 0, 0, 18)]
[(1/2, 0, 1/2, 0), (0, 1/4, 0, 3/4), (0, 0, 1, 0), (0, 0, 0, 2)]
[(1/2, 0, 1/2, 0), (0, 1/42, 0, 167/42), (0, 0, 1, 0), (0, 0, 0, 21)]
[(1/2, 0, 1/2, 27), (0, 1/66, 8/11, 1247/66), (0, 0, 1, 21), (0, 0, 0, 33)]
[(1/2, 0, 1/2, 0), (0, 1/18, 0, 23/18), (0, 0, 1, 0), (0, 0, 0, 9)]
[(1/2, 0, 1/2, 8), (0, 1/32, 1/2, 21/32), (0, 0, 1, 0), (0, 0, 0, 16)]
[(1/2, 0, 1/2, 4), (0, 1/16, 1/2, 11/16), (0, 0, 1, 0), (0, 0, 0, 8)]
[(1/2, 0, 21/2, 0), (0, 1/42, 353/21, 1/2), (0, 0, 21, 0), (0, 0, 0, 1)]
[(1/2, 0, 1/2, 0), (0, 1/54, 0, 787/54), (0, 0, 1, 0), (0, 0, 0, 27)]
[(1/2, 0, 1/2, 6), (0, 1/24, 1/2, 77/24), (0, 0, 1, 0), (0, 0, 0, 12)]
[(1/2, 0, 1/2, 16), (0, 1/64, 1/2, 875/64), (0, 0, 1, 0), (0, 0, 0, 32)]
[(1/2, 0, 1/2, 0), (0, 1/50, 0, 33/50), (0, 0, 1, 0), (0, 0, 0, 25)]
[(1/2, 0, 1/2, 0), (0, 1/56, 0, 715/56), (0, 0, 1, 0), (0, 0, 0, 28)]
[(1/2, 0, 3/2, 0), (0, 1/60, 2/3, 111/20), (0, 0, 3, 0), (0, 0, 0, 10)]
[(1/2, 0, 1/2, 0), (0, 1/24, 0, 149/24), (0, 0, 1, 0), (0, 0, 0, 12)]
[(1/2, 0, 1/2, 0), (0, 1/24, 0, 85/24), (0, 0, 1, 0), (0, 0, 0, 12)]
[(1/2, 0, 1/2, 6), (0, 1/24, 1/2, 275/24), (0, 0, 1, 0), (0, 0, 0, 12)]
[(1/2, 0, 1/2, 18), (0, 1/72, 1/2, 787/72), (0, 0, 1, 0), (0, 0, 0, 36)]
[(1/2, 0, 1/2, 0), (0, 1/30, 0, 167/30), (0, 0, 1, 0), (0, 0, 0, 15)]
[(1/2, 0, 1/2, 0), (0, 1/32, 0, 363/32), (0, 0, 1, 0), (0, 0, 0, 16)]
