[(1/2, 0, 1/4, 61/4), (0, 1/90, 17/60, 3763/180), (0, 0, 1/2, 1/2), (0, 0, 0, 30)]
[(1/2, 1/150, 11/50, 3011/150), (0, 1/75, 11/25, 1136/75), (0, 0, 1/2, 49/2), (0, 0, 0, 25)]
[(1/2, 1/258, 0, 3733/129), (0, 1/129, 0, 1919/129), (0, 0, 1/2, 43/2), (0, 0, 0, 43)]
[(1/2, 1/534, 77/178, 17699/534), (0, 1/267, 65/178, 35665/534), (0, 0, 1/2, 177/2), (0, 0, 0, 89)]
[(1/2, 1/366, 0, 1297/183), (0, 1/183, 0, 2594/183), (0, 0, 1/2, 61/2), (0, 0, 0, 61)]
[(1/2, 0, 0, 57/2), (0, 1/342, 15/38, 3316/171), (0, 0, 1, 12), (0, 0, 0, 57)]
[(1/2, 0, 1/4, 5/4), (0, 1/6, 1/4, 19/12), (0, 0, 1/2, 1/2), (0, 0, 0, 2)]
[(1/2, 1/270, 41/90, 6971/270), (0, 1/135, 37/90, 1927/270), (0, 0, 1/2, 89/2), (0, 0, 0, 45)]
[(1/2, 1/54, 2/9, 151/27), (0, 1/27, 4/9, 59/27), (0, 0, 1/2, 1/2), (0, 0, 0, 9)]
[(1/2, 0, 1/4, 37/4), (0, 1/54, 17/36, 1603/108), (0, 0, 1/2, 1/2), (0, 0, 0, 18)]
[(1/2, 1/270, 7/45, 1582/135), (0, 1/135, 14/45, 3164/135), (0, 0, 1/2, 89/2), (0, 0, 0, 45)]
[(1/2, 1/162, 5/54, 761/162), (0, 1/81, 5/27, 761/81), (0, 0, 1/2, 53/2), (0, 0, 0, 27)]
[(1/2, 0, 1, 3/2), (0, 1/300, 149/100, 3367/150), (0, 0, 2, 3), (0, 0, 0, 25)]
[(1/2, 0, 0, 5/2), (0, 1/30, 1/2, 64/15), (0, 0, 1, 0), (0, 0, 0, 5)]
[(1/2, 1/390, 31/130, 12251/390), (0, 1/195, 31/65, 12251/195), (0, 0, 1/2, 129/2), (0, 0, 0, 65)]
[(1/2, 1/390, 6/13, 11314/195), (0, 1/195, 11/26, 15031/390), (0, 0, 1/2, 25/2), (0, 0, 0, 65)]
[(1/2, 1/594, 2/33, 2830/297), (0, 1/297, 4/33, 5660/297), (0, 0, 1/2, 75/2), (0, 0, 0, 99)]
[(1/2, 0, 1/4, 51/4), (0, 1/156, 23/104, 12451/312), (0, 0, 1/2, 51/2), (0, 0, 0, 52)]
[(1/2, 1/606, 39/202, 39131/606), (0, 1/303, 39/101, 8528/303), (0, 0, 1/2, 107/2), (0, 0, 0, 101)]
[(1/2, 1/210, 11/70, 3089/210), (0, 1/105, 11/35, 3089/105), (0, 0, 1/2, 61/2), (0, 0, 0, 35)]
[(1/2, 1/330, 31/110, 1151/330), (0, 1/165, 7/110, 12367/330), (0, 0, 1/2, 49/2), (0, 0, 0, 55)]
[(1/2, 1/666, 50/111, 27349/333), (0, 1/333, 89/222, 71101/666), (0, 0, 1/2, 115/2), (0, 0, 0, 111)]
